AreaOfInte,longitude,latitude,AreaOfIn_1,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area
"457",-81.344776999999993,28.588785999999999,"Virginia, Lake","95000","107806875",2013/06/26,"2","00292785",Lake Virginia,0.90405990000,66.00000000000,"03080101010209","390","39009","1000000",0.04520307136,0.00008338846
"485",-82.744739999999993,29.007500000000000,Withlacoochee River,,,,,,,,,,,,,,
"345",-81.800726999999995,27.504408000000002,Peace River,"332376",{DAE61B6E-BC9B-4B73-B053-C49A97B1451E},2013/05/28,"2",,,0.52164103000,0.00000000000,,"466","46600","250000",0.07057561157,0.00004764331
"345",-81.800726999999995,27.504408000000002,Peace River,"90885","78683887",2013/05/28,"2",,,0.09080395000,0.00000000000,,"466","46600","100000",0.01668238765,0.00000829320
"292",-82.314200000000000,28.425032999999999,Middle Lake,"507871","58705443",2018/10/05,"2","00286804",Middle Lake,0.66491397000,107.00000000000,"03100207002421","390","39009","1000000",0.05327939007,0.00006123503
"196",-82.620109999999997,28.441210000000002,Hunter's Lake,"507010","58710015",2018/10/05,"2","00284410",Hunters Lake,1.15318347000,19.00000000000,"03100207002435","390","39009","1000000",0.18422753928,0.00010622233
"443",-81.523832999999996,28.440999999999999,"Tibet, Lake","427483","112029645",2013/07/10,"2","00292259",Lake Tibet,4.36359805000,29.90000000000,"03090101028664","390","39009","2000000",0.13911482855,0.00040198296
"81",-81.341516999999996,28.475583000000000,"Conway, Lake","239823","112028653",2009/09/10,"2","00280728",Lake Conway,4.36900000000,26.20000000000,"03090101028282","390","39009","2000000",0.16146054263,0.00040253211
"213",-81.385582999999997,28.483550000000001,"Jessamine, Lake","429707","112028505",2013/07/10,"2","00284776",Lake Jessamine,1.18849486000,27.70000000000,"03090101028249","390","39009","1000000",0.07511874840,0.00010951553
"129",-82.154250000000005,27.920033000000000,Ed Medard Reservoir,"389708","51890509",2015/06/02,"2",,,2.07181442000,0.00000000000,"03100204001156","436","43618","2000000",0.22224633228,0.00018992464
"470",-82.626752999999994,28.532060999999999,Weeki Wachee River,,,,,,,,,,,,,,
"398",-81.930449999999993,26.984500000000001,Shell/Prairie Creek Res.,"340122",{72056E6A-D648-4C89-86E4-73F022D55B2C},2013/07/29,"2",,,0.00785903000,0.00000000000,,"466","46600","24000",0.00418737340,0.00000071451
"398",-81.930449999999993,26.984500000000001,Shell/Prairie Creek Res.,"139279","78605023",2013/07/29,"2",,,0.78742289000,0.00000000000,"03100101020875","390","39004","5000000",0.08941274581,0.00007158670
"634",-81.529650000000004,28.472100000000001,Isleworth Lake,"425754","120024235",2011/04/15,"2","00288428",Lake Palmer,0.18800000000,0.00000000000,"03090101028738","390","39004","500000",0.01969815329,0.00001730568
"76",-81.413533000000001,28.517333000000001,Clear Lake,"428937","112027953",2013/07/10,"2","00280529",Clear Lake,1.44688591000,0.00000000000,"03090101028070","390","39004","2000000",0.11909036932,0.00013337412
"261",-81.531417000000005,28.476966999999998,"Louise, Lake","429979","120024234",2013/07/10,"2","00286141",Lake Louise,0.51610035000,0.00000000000,"03090101028685","390","39004","1000000",0.04298371231,0.00004755493
"67",-81.523133000000001,28.477232999999998,"Chase, Lake","429294",{7E8F2789-19FF-4B6F-8CBF-1085C13CBE58},2013/07/10,"2","00280334",Lake Chase,0.58374821000,29.90000000000,"03090101044686","390","39009","1000000",0.03549290760,0.00005378673
"36",-81.516266999999999,28.478800000000000,"Blanche, Lake","427494","112028991",2013/07/10,"2","00278976",Lake Blanche,0.51154421000,29.90000000000,"03090101028598","390","39009","1000000",0.02809449192,0.00004713639
"55",-81.545117000000005,28.489999999999998,"Butler, Lake","423286","112029141",2013/07/10,"2","00279743",Lake Butler,7.02176927000,29.90000000000,"03090101043552","390","39009","2000000",0.18662777406,0.00064706942
"396",-81.519970000000001,28.432486999999998,"Sheen, Lake","430698","112030525",2011/04/15,"2","00290953",Lake Sheen,2.30600000000,29.90000000000,"03090101029193","390","39009","2000000",0.06334970032,0.00021238303
"469",-81.545878999999999,28.502122000000000,Wauseon Bay,"423286","112029141",2013/07/10,"2","00279743",Lake Butler,7.02176927000,29.90000000000,"03090101043552","390","39009","2000000",0.18662777406,0.00064706942
"119",-81.531250000000000,28.499366999999999,"Down, Lake","423427",c3aa4be1-a57b-47a6-8389-edde0c50422f,2013/07/10,"2","00281739",Lake Down,3.68000794000,29.90000000000,"03090101043551","390","39009","2000000",0.13046820571,0.00033917144
"255",-82.102249999999998,29.505820000000000,"Lochloosa, Lake","147726","120024471",2020/05/28,"2","00294060",Lochloosa Lake,22.08000922000,0.00000000000,"03080102037442","390","39000","5000000",0.19236511265,0.00205470286
"614",-81.983884099999997,29.460427599999999,Crystal and Blue Lakes,"299119","112622554",2009/11/04,"2","00305339",Blue Lake,0.05100000000,0.00000000000,"03080102004221","390","39004","250000",0.00857294061,0.00000477011
"472",-81.954599999999999,28.998919999999998,"Weir, Lake","249902","112626502",2020/05/28,"2","00306567",Lake Weir,22.75941448000,0.00000000000,"03080102029262","390","39000","5000000",0.28482686614,0.00210769710
"403",-82.041190000000000,29.215420000000002,Silver River,"264165","112629912",2020/03/18,"2",,,2.74790009000,0.00000000000,,"466","46600","500000",0.26691862305,0.00025492935
"403",-82.041190000000000,29.215420000000002,Silver River,"143153","112633230",2020/03/18,"2",,,2.59202529000,0.00000000000,,"466","46600","500000",0.19664431897,0.00024048625
"30",-81.724710000000002,30.432884999999999,Bethesda Lake FMA,"21193","125931472",2013/12/05,"2",,,0.06962433000,0.00000000000,"03080103033135","436","43600","250000",0.01093389996,0.00000653764
"330",-82.206519999999998,29.428100000000001,Orange Lake,"254341","112615464",2020/03/18,"2","00288216",Orange Lake,29.46448806000,0.00000000000,"03080102029141","390","39004","5000000",0.70735328673,0.00274028896
"323",-81.630747999999997,30.460338000000000,Oceanway FMA,"91651","125930901",2014/03/21,"2",,,0.02788249000,0.00000000000,"03080103002767","436","43600","100000",0.00680086891,0.00000261886
"413",-81.638328999999999,30.267965000000000,St. Augustine Lake FMA,"112803","125939148",2013/12/05,"2",,,0.05462283000,0.00000000000,"03080103002900","436","43600","250000",0.00986104994,0.00000512056
"159",-81.845690000000005,29.802479999999999,Georges Lake,"174267","125958327",2014/03/21,"2","00283032",Georges Lake,3.31913710000,98.00000000000,"03080103003598","390","39009","2000000",0.10303825621,0.00030969261
"430",-83.082228999999998,29.339827000000000,Suwannee River,,,,,,,,,,,,,,
"385",-82.744190000000003,29.869260000000001,Santa Fe River,,,,,,,,,,,,,,
"234",-82.887457999999995,30.423701000000001,Lang Lake FMA,"549132","134532004",2020/01/23,"2",,,0.30916654000,0.00000000000,"03110201012769","436","43600","500000",0.07196735903,0.00002902791
"384",-82.052149999999997,29.713239999999999,Santa Fe Lake,"276402",{79CB27F4-40AC-4300-8F26-E31EAA835294},2019/10/16,"2","00286691",Melrose Bay,0.19255100000,0.00000000000,"03110206012603","390","39000","500000",0.02050936430,0.00001795229
"11",-82.144795000000002,29.779958000000001,"Alto, Lake","372956","113647923",2019/04/16,"2","00307655",Lake Alto,2.24357585000,0.00000000000,"03110206000837","390","39004","5000000",0.05979860141,0.00020930739
"317",-82.345539000000002,29.949639999999999,New River,"110200","113606859",2020/05/26,"2",,,9.27060063000,0.00000000000,,"466","46600","1000000",0.39564348260,0.00086618733
"414",-80.794499999999999,28.010500000000000,St. Johns River,"269040","107736253",2016/02/24,"2","00307091",Lake Hellen Blazes,1.03054707000,0.00000000000,"03080101011247","390","39004","5000000",0.04952684710,0.00009455828
"482",-80.845799999999997,28.248159999999999,"Winder, Lake","249942","107805437",2014/09/05,"2","00293400",Lake Winder,5.91087321000,12.00000000000,"03080101010831","390","39009","5000000",0.16761466821,0.00054352183
"18",-81.352900000000005,27.562280000000001,Arbuckle Creek,"422974","112071925",2016/05/22,"2",,,34.35609600000,0.00000000000,,"466","46600","5000000",1.16291535698,0.00314072523
"161",-81.265889999999999,28.893249999999998,"Gleason, Lake","306606","107805517",2015/02/13,"2","00283108",Lake Gleason,0.48450547000,0.00000000000,"03080101009398","390","39004","1000000",0.06406386308,0.00004481731
"356",-80.835631000000006,28.340909000000000,"Poinsett, Lake","94415","107805369",2015/12/05,"2","00289112",Lake Poinsett,16.72820772000,0.00000000000,"03080101043020","390","39004","5000000",0.44794802955,0.00153939513
