Invasive,Response,Term,Estimate,SE,t,P,R2,Waterbodies,Years,N
hydrilla,mean,intercept,1.2025717013582362,0.1637221904450205,7.345196751212972,3.3980143720604856e-13,0.08430247140135454,191,23,4393
hydrilla,mean,established,0.06664622691474263,0.17102817292914077,0.38967981574798816,0.6968300033120025,0.08430247140135454,191,23,4393
hydrilla,max,intercept,1.5197796598987114,0.15888272220000504,9.56541805713512,4.544573538497882e-21,0.12220514743055055,191,23,4393
hydrilla,max,established,0.06998833311142544,0.1660313216919684,0.42153692687740046,0.6734249363805627,0.12220514743055055,191,23,4393
hydrilla,min,intercept,0.826034407234415,0.16691710473143628,4.948770280693972,8.332287119115852e-7,0.04204014489355546,191,23,4393
hydrilla,min,established,0.044434147000454886,0.17490966039933645,0.25404055384366553,0.7994999019323902,0.04204014489355546,191,23,4393
hydrilla,cv,intercept,-1.6468072673067895,0.0708913711464589,-23.230010093958374,7.051149152239162e-102,0.16180615601034437,191,23,4393
hydrilla,cv,established,0.04049370371338018,0.07575817818311435,0.5345126385629713,0.5930680693078121,0.16180615601034437,191,23,4393
floating plants,mean,intercept,1.885160330871644,0.15733279590311458,11.981992184468167,1.2611185018408502e-31,0.09638840975968038,191,23,4393
floating plants,mean,established,-0.6704729852823682,0.16453632119846223,-4.074923885490607,4.849869225552971e-5,0.09638840975968038,191,23,4393
floating plants,max,intercept,2.219174985164298,0.1477004569242532,15.024834935360971,1.4626570505931514e-47,0.1372816846661454,191,23,4393
floating plants,max,established,-0.6857655462536117,0.1549369482620283,-4.426094317372573,1.0306483992233289e-5,0.1372816846661454,191,23,4393
floating plants,min,intercept,1.440642750204505,0.17842212481261593,8.074350373965727,1.4028906434483949e-15,0.05001015936232582,191,23,4393
floating plants,min,established,-0.6186777687677893,0.18550853744524878,-3.335036636523463,8.742157435722995e-4,0.05001015936232582,191,23,4393
floating plants,cv,intercept,-1.4988282651159845,0.09797079748964113,-15.298724758002118,3.978501896557389e-49,0.16263903791124945,191,23,4393
floating plants,cv,established,-0.12145545137668395,0.10128757888116173,-1.1991149627456759,0.23067729101601547,0.16263903791124945,191,23,4393
