PermanentID,CommonName,Treatments,Established
113641251,Cuban bulrush,0,0
113641251,Hydrilla,0,0
113641339,Cuban bulrush,0,0
113641339,Para grass,0,0
113641533,Cuban bulrush,0,0
113641533,Water lettuce,1,0
113647267,Cuban bulrush,0,0
113647267,Hydrilla,0,0
113647267,Para grass,0,0
113647267,Water lettuce,1,0
113647923,Para grass,0,0
120023966,Cuban bulrush,0,0
120023966,Para grass,0,0
120023966,Water lettuce,0,0
120024097,Water lettuce,0,0
120024104,Para grass,0,0
120024104,Water hyacinth,0,0
120024234,Water lettuce,0,0
120024235,Water lettuce,1,0
120024421,Cuban bulrush,0,0
120024421,Para grass,0,0
120024421,Water hyacinth,0,0
120024421,Water lettuce,0,0
120053175,Cuban bulrush,0,0
120053175,Para grass,0,0
120053175,Water hyacinth,0,0
120053175,Water lettuce,0,0
122162436,Para grass,0,0
122170680,Para grass,0,0
122175605,Hydrilla,0,0
122175605,Para grass,0,0
122175605,Water lettuce,1,0
122184244,Para grass,0,0
125930901,Hydrilla,0,0
125930901,Water hyacinth,0,0
125930901,Water lettuce,0,0
125931472,Water hyacinth,0,0
125931472,Water lettuce,0,0
125939148,Hydrilla,0,0
125939148,Water hyacinth,0,0
125939148,Water lettuce,0,0
125941119,Hydrilla,0,0
125941119,Water hyacinth,0,0
125941119,Water lettuce,0,0
125957288,Cuban bulrush,0,0
125957288,Hydrilla,0,0
125957288,Para grass,0,0
125957288,Water hyacinth,0,0
125957288,Water lettuce,0,0
125957328,Cuban bulrush,0,0
125957328,Water lettuce,0,0
125958327,Cuban bulrush,0,0
125958327,Hydrilla,0,0
125958327,Para grass,0,0
125961079,Hydrilla,0,0
125961079,Para grass,0,0
125961079,Water lettuce,1,0
125971432,Para grass,0,0
125973857,Hydrilla,0,0
125973857,Para grass,0,0
125973857,Water lettuce,0,0
125973884,Para grass,0,0
125973884,Water lettuce,1,0
125973915,Para grass,0,0
125973926,Hydrilla,0,0
125973930,Hydrilla,0,0
127396510,Para grass,0,0
127396510,Water lettuce,1,0
127397552,Hydrilla,0,0
127397552,Para grass,0,0
127397552,Torpedograss,0,0
127397552,Water lettuce,1,0
127398188,Hydrilla,0,0
127398188,Para grass,0,0
127398188,Torpedograss,0,0
127398188,Water lettuce,1,0
129753569,Para grass,0,0
129753569,Water lettuce,1,0
129755779,Para grass,0,0
129755779,Water lettuce,1,0
129951347,Para grass,0,0
129951347,Torpedograss,0,0
129951347,Water lettuce,1,0
129951937,Para grass,0,0
129951937,Water lettuce,1,0
129952177,Para grass,0,0
129952177,Water lettuce,1,0
129952717,Para grass,0,0
133703081,Cuban bulrush,0,0
133703081,Para grass,0,0
133703081,Water lettuce,1,0
133703477,Cuban bulrush,0,0
133703477,Hydrilla,0,0
133703477,Para grass,0,0
133703477,Water lettuce,1,0
134187659,Hydrilla,0,0
134187659,Water hyacinth,0,0
134187659,Water lettuce,0,0
