Invasive,Response,Term,Estimate,SE,t,P,R2,Waterbodies,Years,N
Cuban bulrush,mean,intercept,6.440740142060233,0.3836106358279768,16.789785111558967,1.5351843929409049e-49,0.8119155084717299,143,9,1287
Cuban bulrush,mean,established,0.4247558852743986,0.3862257783076725,1.0997605782181439,0.2720205458870811,0.8119155084717299,143,9,1287
Cuban bulrush,max,intercept,6.8659449276110145,0.34685683537335993,19.79475168831673,2.7047333818004934e-63,0.8084178265057939,143,9,1287
Cuban bulrush,max,established,0.282330935209377,0.35005192049837824,0.8065401692623624,0.42035467621677847,0.8084178265057939,143,9,1287
Cuban bulrush,min,intercept,5.968850879937358,0.46082820180068246,12.95244270340687,7.300080837267044e-33,0.7775985236175398,143,9,1287
Cuban bulrush,min,established,0.5959405214145518,0.46294194984495407,1.2872899542029856,0.19865056400279685,0.7775985236175398,143,9,1287
Cuban bulrush,cv,intercept,-1.3655913243241242,0.17780834506395532,-7.680130670092785,9.895959577520998e-14,0.2001329233379971,143,9,1287
Cuban bulrush,cv,established,-0.45445019928293323,0.18062826654472142,-2.5159417624728007,0.012216195861472245,0.2001329233379971,143,9,1287
torpedograss,mean,intercept,7.6744122061137,4.174048027082765e-17,183860179766003650,0,0.7106987199336768,183,21,3843
torpedograss,mean,established,-0.8307661033808234,0.041754131516527904,-19.896620363232174,3.576940772253262e-77,0.7106987199336768,183,21,3843
torpedograss,max,intercept,7.845723030616412,2.709008602685255e-16,28961602494873892,0,0.7165031525728464,183,21,3843
torpedograss,max,established,-0.7280353685784494,0.04252707101969761,-17.119339543540146,1.92053338330706e-59,0.7165031525728464,183,21,3843
torpedograss,min,intercept,7.477184337600532,4.13279988924589e-16,18092297081833520,0,0.6565136366818232,183,21,3843
torpedograss,min,established,-0.9492890041502953,0.04411034208556183,-21.52078082525268,3.3747670285716814e-88,0.6565136366818232,183,21,3843
torpedograss,cv,intercept,-2.1214045150985132,7.754213601105758e-16,-2735808715400874.5,0,0.23911957872977344,183,21,3843
torpedograss,cv,established,0.3041669667171846,0.025071685757580578,12.131891315892782,3.551120829533781e-32,0.23911957872977344,183,21,3843
