component,term,estimate,std.error,statistic,p.value
mu,(Intercept),-5.607212116164665,0.09502748093557015,-59.00621652768452,0
mu,FloatTrtFreqC,0.01337133726243341,0.001452923772228112,9.203054914524506,3.4791499514748285e-20
mu,FloatTrtAreaC,0.07530265606455296,0.00793803185023223,9.48631316745724,2.3935018043620545e-21
mu,LatitudeC,-0.15181122891907967,0.06205484029331164,-2.4464043127259827,0.014428909223258046
phi,(phi),75.5174960361772,8.494204968301881,8.890472541925755,6.084957121137238e-19
nu,Log(nu),-11.710131584223957,0.45031591709097846,-26.00425865439291,4.4323048211240564e-149
