CommonName,Habitat,PAC_yes_neg,PAC_yes_pos,PAC_no,Treat_yes_neg,Treat_yes_pos,Treat_no
Cuban bulrush,floating,2,0,2,0,4,0
Cuban bulrush,emersed,24,0,19,3,22,18
Cuban bulrush,submersed,11,0,6,1,9,7
para grass,floating,2,1,1,0,1,3
para grass,emersed,24,2,14,11,7,22
para grass,submersed,9,0,8,8,0,9
torpedograss,floating,0,1,3,0,3,1
torpedograss,emersed,9,20,14,0,19,24
torpedograss,submersed,1,12,4,1,12,4
