covNames,change,.lower,.upper,.width,.point,.interval,Invasive
RecentTreatment,1.5935112740475095,0.8298775966227644,2.250933553259598,0.95,median,qi,hydrilla
PercCovered,3.4677201252545,1.7471279991649418,4.910613802902285,0.95,median,qi,hydrilla
RecentTreatment,0.7852928364768506,0.2816403364849895,1.1754156785493284,0.95,median,qi,floating plants
PercCovered,-0.16644293347881245,-5.080304846499826,3.5262926226520777,0.95,median,qi,floating plants
