component,term,estimate,std.error,statistic,p.value
mu,(Intercept),-4.773013747761608,0.17048351985302548,-27.996921648945552,1.7712179613905127e-172
mu,HydrTrt,1.63565564995857,0.14889121915821668,10.98557496678477,4.483743818273248e-28
phi,(phi),6.614520155685543,0.8239258180113835,8.028053025028711,9.903167981488271e-16
nu,Log(nu),-12.035137661556933,0.49635952167147,-24.246815334637095,7.1439421444437004e-130
