component,term,estimate,std.error,statistic,p.value
mu,(Intercept),-6.594744139173242,0.19131777049007878,-34.47010762398168,2.2506986174209522e-260
mu,FloatTrt,1.3994776161928466,0.17891738946702654,7.821920610186202,5.202341650313718e-15
mu,LatitudeC,-0.027698201749986127,0.06301733246355283,-0.43953307236554107,0.6602753236186669
phi,(phi),61.72659704834275,7.2495789924686855,8.514507823484395,1.6729932928093082e-17
nu,Log(nu),-11.678077711370076,0.4501982222429189,-25.939857454765324,2.3665629350256574e-148
