effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),3.0357958259842976,0.020322555603246147,149.38061360252283,0
fixed,cond,NA,Time,0.0022192480187139254,0.003576294410170557,0.6205439944772576,0.5348996988330663
fixed,cond,NA,Time:TrtAreaCon,-0.001737724102600854,4.252841443062872e-4,-4.086030776988843,4.388155994427306e-5
fixed,cond,NA,Time:TrtAreaSys,-3.706947343289418e-4,1.6365717525721195e-4,-2.2650686335404426,0.02350846809620496
fixed,cond,NA,Time:TrtAreaNon,1.0423279301192947e-4,7.146204286672798e-5,1.4585756134388264,0.14468194967504394
fixed,cond,NA,Time:TrtFreqSys,4.9520762269559614e-5,5.120091389090907e-5,0.9671851243724036,0.33345149722298273
fixed,cond,NA,Time:TrtFreqNon,2.9473038179043194e-4,1.0092403926501765e-4,2.9203189243793135,0.0034967333766842594
fixed,cond,NA,Time:TrtMonthStd,-6.540657490179094e-4,0.001136183535365184,-0.5756690962852972,0.5648388676130197
fixed,cond,NA,Time:TrtFreqCon,3.077978614859614e-5,5.5192083425672115e-5,0.5576848025686089,0.5770596371057368
ran_pars,cond,AreaOfInterestID,sd__(Intercept),0.33286746594931793,NA,NA,NA
