Invasive,Response,Term,Estimate,SE,t,P,R2,Waterbodies,Years,N
Cuban bulrush,mean,intercept,3.166168119104174,0.3535532732325117,8.955278762253085,8.829939192820278e-18,0.28664573210490313,143,9,1287
Cuban bulrush,mean,established,0.1945307498430001,0.3626048156708455,0.5364814294677911,0.5918892197143945,0.28664573210490313,143,9,1287
Cuban bulrush,max,intercept,3.6466278373718817,0.3655247392130332,9.976418682967921,2.5377170359915243e-21,0.307387598856444,143,9,1287
Cuban bulrush,max,established,0.10571910403909446,0.3753574647543732,0.2816491317370631,0.7783411774095232,0.307387598856444,143,9,1287
Cuban bulrush,min,intercept,2.668279124808144,0.3877750218723963,6.88099793515371,1.986136856859642e-11,0.1968552767958695,143,9,1287
Cuban bulrush,min,established,0.2531972888178822,0.39648606408358134,0.6386032492796693,0.5234037915988603,0.1968552767958695,143,9,1287
Cuban bulrush,cv,intercept,-1.2717477803151829,0.1537181470611779,-8.273244276155912,1.4678999234115332e-15,0.09054296876272372,143,9,1287
Cuban bulrush,cv,established,-0.22635664963837313,0.1569541380492192,-1.442183382048774,0.1499416475698837,0.09054296876272372,143,9,1287
torpedograss,mean,intercept,4.70341784801397,5.460149656244625e-16,8614082294676299,0,0.23201960118937381,183,21,3843
torpedograss,mean,established,-1.3016905712612097,0.06390973076943303,-20.367642854846554,2.519149983414208e-80,0.23201960118937381,183,21,3843
torpedograss,max,intercept,5.332582637751638,4.662455835420718e-16,11437282895507472,0,0.24624835919849586,183,21,3843
torpedograss,max,established,-1.545602661940688,0.06885020113734051,-22.44877482431114,1.1076421148401018e-94,0.24624835919849586,183,21,3843
torpedograss,min,intercept,3.781513753556563,1.6347848435195873e-16,23131568466313924,0,0.16924976068528078,183,21,3843
torpedograss,min,established,-0.828660139346059,0.06377015940666256,-12.994481228464398,2.1114735364370374e-36,0.16924976068528078,183,21,3843
torpedograss,cv,intercept,-0.6506121917496724,5.626628568647646e-16,-1156309117994697.2,0,0.14764936254512248,183,21,3843
torpedograss,cv,established,-0.8289209622377564,0.023720891646457826,-34.94476407515384,1.5153078959004095e-189,0.14764936254512248,183,21,3843
