Taxon,Habitat,Origin,Parameter,Estimate,Std.error,Z,P,Significance
Alternanthera philoxeroides,emersed,non-native,intercept,0.684,0.06,11.426,3.0932271831461754e-30,< 0.001
Bacopa caroliniana,emersed,native,intercept,-1.066,0.057,-18.723,3.196911497969995e-78,< 0.001
Bidens spp.,emersed,native,intercept,-0.638,0.051,-12.541,4.4254864001778694e-36,< 0.001
Cephalanthus occidentalis,emersed,native,intercept,0.83,0.052,15.85,1.4160662960002357e-56,< 0.001
Ceratophyllum demersum,submersed,native,intercept,-1.505,0.056,-26.708,3.821703640392549e-157,< 0.001
Cladium jamaicense,emersed,native,intercept,-0.137,0.048,-2.851,0.004355771973293961,< 0.01
Colocasia esculenta,emersed,non-native,intercept,-0.402,0.051,-7.876,3.371959656152601e-15,< 0.001
Cyperus blepharoleptos,emersed,non-native,intercept,-0.26,0.049,-5.319,1.0408121413271226e-7,< 0.001
Cyperus spp. (other natives),emersed,native,intercept,0.453,0.05,8.998,2.3082695418190776e-19,< 0.001
Echinochloa spp.,emersed,native,intercept,-1.882,0.063,-29.815,2.4745638051732236e-195,< 0.001
"Eleocharis spp., emersed",emersed,native,intercept,-0.514,0.049,-10.395,2.616456728221845e-25,< 0.001
"Eleocharis spp., sub/floating",submersed,native,intercept,0.64,0.05,12.827,1.1571848218222092e-37,< 0.001
Filamentous algae,floating,native,intercept,0.422,0.05,8.359,6.331238356497282e-17,< 0.001
Fuirena spp.,emersed,native,intercept,0.233,0.052,4.505,6.645243881254081e-6,< 0.001
Hydrocotyle spp.,emersed,native,intercept,1.669,0.076,21.892,3.124268737867136e-106,< 0.001
Juncus effusus,emersed,native,intercept,-1.193,0.055,-21.806,2.0303970072629815e-105,< 0.001
Leersia hexandra,emersed,native,intercept,-0.908,0.057,-15.913,5.145043999633819e-57,< 0.001
Lemna/Spirodela spp.,floating,native,intercept,-0.83,0.052,-16.086,3.202206247883558e-58,< 0.001
Luziola fluitans,submersed,native,intercept,-1.221,0.058,-20.917,3.737759559218476e-97,< 0.001
Najas guadalupensis,submersed,native,intercept,-1.198,0.054,-22.096,3.443033529837607e-108,< 0.001
Nelumbo lutea,emersed,native,intercept,-2.222,0.068,-32.462,3.642743877043681e-231,< 0.001
Nuphar advena,emersed,native,intercept,1.088,0.061,17.976,3.0291847372978156e-72,< 0.001
Nymphaea odorata,emersed,native,intercept,0.436,0.05,8.672,4.241001833445985e-18,< 0.001
Nymphoides aquatica,emersed,native,intercept,-1.01,0.059,-17.264,8.842369091523409e-67,< 0.001
Panicum hemitomon,emersed,native,intercept,1.731,0.067,25.681,1.9143646700910112e-145,< 0.001
Panicum repens,emersed,non-native,intercept,1.45,0.073,19.855,9.993828589074089e-88,< 0.001
Paspalidium geminatum,emersed,native,intercept,-1.442,0.056,-25.768,2.040001662819037e-146,< 0.001
Pontederia cordata,emersed,native,intercept,1.463,0.068,21.657,5.2463949278799814e-104,< 0.001
Potamogeton illinoensis,submersed,native,intercept,-2.131,0.069,-30.863,3.789483896538336e-209,< 0.001
Rhynchospora spp.,emersed,native,intercept,-1.354,0.061,-22.282,5.518565816412673e-110,< 0.001
Sacciolepis striata,emersed,native,intercept,-0.362,0.05,-7.295,2.9769709583003625e-13,< 0.001
Sagittaria lancifolia,emersed,native,intercept,0.165,0.055,3.014,0.0025780596450793707,< 0.01
Sagittaria latifolia,emersed,native,intercept,-2.184,0.068,-32.135,1.4493212185662306e-226,< 0.001
Salix spp.,emersed,native,intercept,1.332,0.071,18.836,3.8216265549999394e-79,< 0.001
Salvinia minima,floating,non-native,intercept,-0.228,0.05,-4.544,5.510399978587618e-6,< 0.001
Spartina bakeri,emersed,native,intercept,-0.846,0.052,-16.36,3.682550192747793e-60,< 0.001
Thalia geniculata,emersed,native,intercept,-2.138,0.067,-31.718,8.902269470278154e-221,< 0.001
Typha spp.,emersed,native,intercept,1.307,0.08,16.359,3.7647858121552463e-60,< 0.001
Urochloa mutica,emersed,non-native,intercept,-0.699,0.05,-13.948,3.248205249110188e-44,< 0.001
Utricularia foliosa,submersed,native,intercept,-1.292,0.055,-23.322,2.6276471073395168e-120,< 0.001
Utricularia gibba,submersed,native,intercept,-1.051,0.054,-19.444,3.2644649508530335e-84,< 0.001
Vallisneria americana,submersed,native,intercept,-1.371,0.059,-23.148,1.5338660474528528e-118,< 0.001
Alternanthera philoxeroides,emersed,non-native,hydrilla,0.061,0.01,6.395,1.6107322052305483e-10,< 0.001
Bacopa caroliniana,emersed,native,hydrilla,0.037,0.003,11.421,3.300065671090564e-30,< 0.001
Bidens spp.,emersed,native,hydrilla,0.035,0.003,10.345,4.3921614947312045e-25,< 0.001
Cephalanthus occidentalis,emersed,native,hydrilla,0.01,0.003,2.818,0.004830205668810561,< 0.01
Ceratophyllum demersum,submersed,native,hydrilla,0.038,0.004,8.717,2.851153742635538e-18,< 0.001
Cladium jamaicense,emersed,native,hydrilla,0.005,0.003,1.647,0.09949101063342772,< 0.1
Colocasia esculenta,emersed,non-native,hydrilla,-0.01,0.003,-2.837,0.004556495754101949,< 0.01
Cyperus blepharoleptos,emersed,non-native,hydrilla,0.008,0.003,2.463,0.013761300784550566,< 0.05
Cyperus spp. (other natives),emersed,native,hydrilla,0.004,0.003,1.092,0.2748304921691205,≥ 0.1
Echinochloa spp.,emersed,native,hydrilla,0.008,0.003,2.624,0.008697410599227746,< 0.01
"Eleocharis spp., emersed",emersed,native,hydrilla,0.005,0.003,1.648,0.09926026962246483,< 0.1
"Eleocharis spp., sub/floating",submersed,native,hydrilla,0.016,0.003,5.108,3.2580586886063833e-7,< 0.001
Filamentous algae,floating,native,hydrilla,0.059,0.006,9.683,3.5721874967294218e-22,< 0.001
Fuirena spp.,emersed,native,hydrilla,0.004,0.004,1.205,0.2282889997381416,≥ 0.1
Hydrocotyle spp.,emersed,native,hydrilla,0.02,0.009,2.316,0.020553153827198335,< 0.05
Juncus effusus,emersed,native,hydrilla,0.028,0.003,8.715,2.9103324840899614e-18,< 0.001
Leersia hexandra,emersed,native,hydrilla,0.022,0.003,6.408,1.4726735314457245e-10,< 0.001
Lemna/Spirodela spp.,floating,native,hydrilla,0.009,0.004,2.525,0.011572616815257659,< 0.05
Luziola fluitans,submersed,native,hydrilla,0.035,0.003,10.675,1.3303000825240796e-26,< 0.001
Najas guadalupensis,submersed,native,hydrilla,0.004,0.003,1.245,0.21320393209740138,≥ 0.1
Nelumbo lutea,emersed,native,hydrilla,0.046,0.004,11.623,3.1603912809479967e-31,< 0.001
Nuphar advena,emersed,native,hydrilla,0.005,0.005,1.078,0.28123544343235685,≥ 0.1
Nymphaea odorata,emersed,native,hydrilla,0.028,0.004,7.105,1.2068711760526808e-12,< 0.001
Nymphoides aquatica,emersed,native,hydrilla,0.033,0.003,9.931,3.0431443959426986e-23,< 0.001
Panicum hemitomon,emersed,native,hydrilla,0.012,0.005,2.427,0.015227419640898014,< 0.05
Panicum repens,emersed,non-native,hydrilla,-0.008,0.007,-1.202,0.22938225550758867,≥ 0.1
Paspalidium geminatum,emersed,native,hydrilla,-0.018,0.003,-5.709,1.1385675911655393e-8,< 0.001
Pontederia cordata,emersed,native,hydrilla,0.028,0.007,3.81,1.389872299104479e-4,< 0.001
Potamogeton illinoensis,submersed,native,hydrilla,0.025,0.003,7.478,7.52559372768896e-14,< 0.001
Rhynchospora spp.,emersed,native,hydrilla,0.03,0.003,9.219,3.003954562389092e-20,< 0.001
Sacciolepis striata,emersed,native,hydrilla,0.014,0.003,4.406,1.052517139373011e-5,< 0.001
Sagittaria lancifolia,emersed,native,hydrilla,-0.011,0.004,-2.678,0.007413441932528327,< 0.01
Sagittaria latifolia,emersed,native,hydrilla,0.05,0.004,12.342,5.383464605536425e-35,< 0.001
Salix spp.,emersed,native,hydrilla,0.023,0.009,2.617,0.00887179997733723,< 0.01
Salvinia minima,floating,non-native,hydrilla,0.018,0.004,4.381,1.1821948920339416e-5,< 0.001
Spartina bakeri,emersed,native,hydrilla,0.016,0.003,5.205,1.9370530130485053e-7,< 0.001
Thalia geniculata,emersed,native,hydrilla,0.014,0.003,4.585,4.534995661376604e-6,< 0.001
Typha spp.,emersed,native,hydrilla,0.017,0.013,1.35,0.17697223818784485,≥ 0.1
Urochloa mutica,emersed,non-native,hydrilla,0.001,0.003,0.235,0.8143158522209116,≥ 0.1
Utricularia foliosa,submersed,native,hydrilla,0.022,0.003,7.034,2.0038640122739396e-12,< 0.001
Utricularia gibba,submersed,native,hydrilla,0.024,0.003,7.744,9.667164815449595e-15,< 0.001
Vallisneria americana,submersed,native,hydrilla,-0.005,0.004,-1.321,0.1863486316462491,≥ 0.1
Alternanthera philoxeroides,emersed,non-native,water hyacinth,0.143,0.09,1.589,0.11203397132380269,≥ 0.1
Bacopa caroliniana,emersed,native,water hyacinth,-0.328,0.079,-4.174,2.9865180793419463e-5,< 0.001
Bidens spp.,emersed,native,water hyacinth,-0.11,0.061,-1.826,0.06789993962511535,< 0.1
Cephalanthus occidentalis,emersed,native,water hyacinth,-0.093,0.062,-1.501,0.13336966892572538,≥ 0.1
Ceratophyllum demersum,submersed,native,water hyacinth,0.159,0.063,2.519,0.011759292311869396,< 0.05
Cladium jamaicense,emersed,native,water hyacinth,-0.31,0.061,-5.116,3.116979138633381e-7,< 0.001
Colocasia esculenta,emersed,non-native,water hyacinth,0.094,0.061,1.538,0.12411223049582014,≥ 0.1
Cyperus blepharoleptos,emersed,non-native,water hyacinth,-0.124,0.058,-2.12,0.034033558286122235,< 0.05
Cyperus spp. (other natives),emersed,native,water hyacinth,-0.24,0.059,-4.097,4.187862427798688e-5,< 0.001
Echinochloa spp.,emersed,native,water hyacinth,0.124,0.066,1.887,0.059103115824319596,< 0.1
"Eleocharis spp., emersed",emersed,native,water hyacinth,-0.364,0.064,-5.711,1.1227593821889352e-8,< 0.001
"Eleocharis spp., sub/floating",submersed,native,water hyacinth,-0.509,0.061,-8.395,4.6703956944191035e-17,< 0.001
Filamentous algae,floating,native,water hyacinth,-0.282,0.062,-4.546,5.469794816122793e-6,< 0.001
Fuirena spp.,emersed,native,water hyacinth,-1.691,0.131,-12.862,7.336580745470378e-38,< 0.001
Hydrocotyle spp.,emersed,native,water hyacinth,-0.429,0.079,-5.453,4.95294588956331e-8,< 0.001
Juncus effusus,emersed,native,water hyacinth,-0.186,0.066,-2.801,0.005098476023709177,< 0.01
Leersia hexandra,emersed,native,water hyacinth,-0.101,0.07,-1.431,0.15250440161656237,≥ 0.1
Lemna/Spirodela spp.,floating,native,water hyacinth,0.187,0.062,3.002,0.002680850613241756,< 0.01
Luziola fluitans,submersed,native,water hyacinth,-0.312,0.077,-4.036,5.4462426232341524e-5,< 0.001
Najas guadalupensis,submersed,native,water hyacinth,-0.409,0.073,-5.567,2.5881189843303633e-8,< 0.001
Nelumbo lutea,emersed,native,water hyacinth,-0.032,0.071,-0.451,0.6522345858467111,≥ 0.1
Nuphar advena,emersed,native,water hyacinth,-0.449,0.065,-6.935,4.065962806178756e-12,< 0.001
Nymphaea odorata,emersed,native,water hyacinth,-0.643,0.063,-10.254,1.1379385054825781e-24,< 0.001
Nymphoides aquatica,emersed,native,water hyacinth,-0.858,0.109,-7.839,4.535155639945357e-15,< 0.001
Panicum hemitomon,emersed,native,water hyacinth,-0.601,0.064,-9.401,5.413581892517518e-21,< 0.001
Panicum repens,emersed,non-native,water hyacinth,-0.717,0.07,-10.304,6.744491279381443e-25,< 0.001
Paspalidium geminatum,emersed,native,water hyacinth,-0.73,0.085,-8.583,9.248691999673738e-18,< 0.001
Pontederia cordata,emersed,native,water hyacinth,-0.895,0.067,-13.373,8.668526151989111e-41,< 0.001
Potamogeton illinoensis,submersed,native,water hyacinth,-0.749,0.109,-6.847,7.5288907515879e-12,< 0.001
Rhynchospora spp.,emersed,native,water hyacinth,-0.429,0.086,-4.983,6.272582898338403e-7,< 0.001
Sacciolepis striata,emersed,native,water hyacinth,-0.366,0.064,-5.701,1.1897879057797701e-8,< 0.001
Sagittaria lancifolia,emersed,native,water hyacinth,-0.511,0.064,-7.978,1.4926894002146371e-15,< 0.001
Sagittaria latifolia,emersed,native,water hyacinth,-0.099,0.072,-1.359,0.17400797248946784,≥ 0.1
Salix spp.,emersed,native,water hyacinth,-0.309,0.079,-3.884,1.02955029335298e-4,< 0.001
Salvinia minima,floating,non-native,water hyacinth,0.151,0.063,2.387,0.017002463349800483,< 0.05
Spartina bakeri,emersed,native,water hyacinth,-0.641,0.078,-8.223,1.9771353793910872e-16,< 0.001
Thalia geniculata,emersed,native,water hyacinth,0.268,0.067,3.975,7.026138242867168e-5,< 0.001
Typha spp.,emersed,native,water hyacinth,-0.138,0.1,-1.383,0.16677296178302556,≥ 0.1
Urochloa mutica,emersed,non-native,water hyacinth,-0.102,0.06,-1.705,0.08814368458258422,< 0.1
Utricularia foliosa,submersed,native,water hyacinth,-0.262,0.07,-3.749,1.7721440711371294e-4,< 0.001
Utricularia gibba,submersed,native,water hyacinth,-0.36,0.072,-4.971,6.665918860299472e-7,< 0.001
Vallisneria americana,submersed,native,water hyacinth,-0.125,0.071,-1.757,0.07887440176327862,< 0.1
Alternanthera philoxeroides,emersed,non-native,water lettuce,1.588,0.292,5.446,5.159624148184988e-8,< 0.001
Bacopa caroliniana,emersed,native,water lettuce,-0.931,0.137,-6.806,1.0016427973992174e-11,< 0.001
Bidens spp.,emersed,native,water lettuce,0.412,0.078,5.292,1.2119340879843072e-7,< 0.001
Cephalanthus occidentalis,emersed,native,water lettuce,0.073,0.088,0.83,0.40631988989120477,≥ 0.1
Ceratophyllum demersum,submersed,native,water lettuce,0.652,0.091,7.156,8.330208843187779e-13,< 0.001
Cladium jamaicense,emersed,native,water lettuce,0.281,0.076,3.722,1.9782423826621742e-4,< 0.001
Colocasia esculenta,emersed,non-native,water lettuce,-0.008,0.086,-0.091,0.9271475426474726,≥ 0.1
Cyperus blepharoleptos,emersed,non-native,water lettuce,-0.276,0.076,-3.614,3.016252205814933e-4,< 0.001
Cyperus spp. (other natives),emersed,native,water lettuce,0.033,0.082,0.404,0.6859530146667845,≥ 0.1
Echinochloa spp.,emersed,native,water lettuce,0.25,0.079,3.18,0.001472462533765263,< 0.01
