GNIS_ID,source,Lake,County,Lake_County
307655,LW,ALTO,ALACHUA,ALTO_ALACHUA
307655,FWC,ALTO,ALACHUA,ALTO_ALACHUA
284137,LW,HOLDEN POND,ALACHUA,HOLDEN POND_ALACHUA
284137,FWC,HOLDENS POND,ALACHUA,HOLDENS POND_ALACHUA
285749,LW,LITTLE ORANGE,ALACHUA,LITTLE ORANGE_ALACHUA
285749,FWC,LITTLE ORANGE,ALACHUA,LITTLE ORANGE_ALACHUA
294060,LW,LOCHLOOSA,ALACHUA,LOCHLOOSA_ALACHUA
294060,FWC,LOCHLOOSA,ALACHUA,LOCHLOOSA_ALACHUA
294429,LW,NEWNAN,ALACHUA,NEWNAN_ALACHUA
294429,FWC,NEWNAN,ALACHUA,NEWNAN_ALACHUA
288216,LW,ORANGE,ALACHUA,ORANGE_ALACHUA
288216,FWC,ORANGE,ALACHUA,ORANGE_ALACHUA
290657,LW,SANTA FE,ALACHUA,SANTA FE_ALACHUA
290657,FWC,SANTA FE,ALACHUA,SANTA FE_ALACHUA
292948,LW,WAUBERG,ALACHUA,WAUBERG_ALACHUA
292948,FWC,WAUBERG,ALACHUA,WAUBERG_ALACHUA
281453,LW,DEER POINT,BAY,DEER POINT_BAY
281453,FWC,DEER POINT,BAY,DEER POINT_BAY
281084,LW,CROSBY,BRADFORD,CROSBY_BRADFORD
281084,FWC,CROSBY,BRADFORD,CROSBY_BRADFORD
283673,LW,HAMPTON,BRADFORD,HAMPTON_BRADFORD
283673,FWC,HAMPTON,BRADFORD,HAMPTON_BRADFORD
290019,LW,ROWELL,BRADFORD,ROWELL_BRADFORD
290019,FWC,ROWELL,BRADFORD,ROWELL_BRADFORD
290460,LW,SAMPSON,BRADFORD,SAMPSON_BRADFORD
290460,FWC,SAMPSON,BRADFORD,SAMPSON_BRADFORD
282770,LW,FOX,BREVARD,FOX_BREVARD
282770,FWC,FOX,BREVARD,FOX_BREVARD
289112,LW,POINSETT,BREVARD,POINSETT_BREVARD
289112,FWC,POINSETT,BREVARD,POINSETT_BREVARD
291391,LW,SOUTH,BREVARD,SOUTH_BREVARD
291391,FWC,SOUTH,BREVARD,SOUTH_BREVARD
292914,LW,WASHINGTON,BREVARD,WASHINGTON_BREVARD
292914,FWC,WASHINGTON,BREVARD,WASHINGTON_BREVARD
290015,LW,ROUSSEAU,CITRUS,ROUSSEAU_CITRUS
290015,FWC,ROUSSEAU,CITRUS,ROUSSEAU_CITRUS
292393,LW,TRAFFORD,COLLIER,TRAFFORD_COLLIER
292393,FWC,TRAFFORD,COLLIER,TRAFFORD_COLLIER
294414,LW,MONTGOMERY,COLUMBIA,MONTGOMERY_COLUMBIA
294414,FWC,MONTGOMERY FMA,COLUMBIA,MONTGOMERY FMA_COLUMBIA
291726,LW,STONE,ESCAMBIA,STONE_ESCAMBIA
291726,FWC,STONE,ESCAMBIA,STONE_ESCAMBIA
281592,LW,DISSTON,FLAGLER,DISSTON_FLAGLER
281592,FWC,DISSTON,FLAGLER,DISSTON_FLAGLER
306480,LW,TALQUIN,GADSDEN,TALQUIN_GADSDEN
306480,FWC,TALQUIN,GADSDEN,TALQUIN_GADSDEN
284410,LW,HUNTER,HERNANDO,HUNTER_HERNANDO
284410,FWC,HUNTERS,HERNANDO,HUNTERS_HERNANDO
285564,LW,LINDSEY,HERNANDO,LINDSEY_HERNANDO
285564,FWC,LINDSEY,HERNANDO,LINDSEY_HERNANDO
287371,LW,MOUNTAIN,HERNANDO,MOUNTAIN_HERNANDO
287371,FWC,MOUNTAIN,HERNANDO,MOUNTAIN_HERNANDO
277693,LW,ADELAIDE,HIGHLANDS,ADELAIDE_HIGHLANDS
277693,FWC,ADELAIDE,HIGHLANDS,ADELAIDE_HIGHLANDS
277926,LW,APTHORPE,HIGHLANDS,APTHORPE_HIGHLANDS
277926,FWC,APTHORPE,HIGHLANDS,APTHORPE_HIGHLANDS
279213,LW,BONNET,HIGHLANDS,BONNET_HIGHLANDS
279213,FWC,BONNET,HIGHLANDS,BONNET_HIGHLANDS
280072,LW,CARRIE,HIGHLANDS,CARRIE_HIGHLANDS
280072,FWC,CARRIE,HIGHLANDS,CARRIE_HIGHLANDS
280516,LW,CLAY,HIGHLANDS,CLAY_HIGHLANDS
280516,FWC,CLAY,HIGHLANDS,CLAY_HIGHLANDS
281269,LW,DAMON,HIGHLANDS,DAMON_HIGHLANDS
281269,FWC,DAMON,HIGHLANDS,DAMON_HIGHLANDS
281572,LW,DINNER,HIGHLANDS,DINNER_HIGHLANDS
281572,FWC,DINNER,HIGHLANDS,DINNER_HIGHLANDS
282784,LW,FRANCIS,HIGHLANDS,FRANCIS_HIGHLANDS
282784,FWC,FRANCIS,HIGHLANDS,FRANCIS_HIGHLANDS
283112,LW,GLENADA,HIGHLANDS,GLENADA_HIGHLANDS
283112,FWC,GLENADA,HIGHLANDS,GLENADA_HIGHLANDS
283916,LW,HENRY,HIGHLANDS,HENRY_HIGHLANDS
283916,FWC,HENRY,HIGHLANDS,HENRY_HIGHLANDS
284412,LW,HUNTLEY,HIGHLANDS,HUNTLEY_HIGHLANDS
284412,FWC,HUNTLEY,HIGHLANDS,HUNTLEY_HIGHLANDS
284635,LW,ISTOKPOGA,HIGHLANDS,ISTOKPOGA_HIGHLANDS
284635,FWC,ISTOKPOGA,HIGHLANDS,ISTOKPOGA_HIGHLANDS
284682,LW,JACKSON,HIGHLANDS,JACKSON_HIGHLANDS
284682,FWC,JACKSON,HIGHLANDS,JACKSON_HIGHLANDS
284942,LW,JOSEPHINE CENTER,HIGHLANDS,JOSEPHINE CENTER_HIGHLANDS
284942,FWC,JOSEPHINE,HIGHLANDS,JOSEPHINE_HIGHLANDS
284976,LW,JUNE,HIGHLANDS,JUNE_HIGHLANDS
284976,FWC,JUNE-IN-WINTER,HIGHLANDS,JUNE-IN-WINTER_HIGHLANDS
285451,LW,LELIA,HIGHLANDS,LELIA_HIGHLANDS
285451,FWC,LELIA,HIGHLANDS,LELIA_HIGHLANDS
285472,LW,LETTA,HIGHLANDS,LETTA_HIGHLANDS
285472,FWC,LETTA,HIGHLANDS,LETTA_HIGHLANDS
285771,LW,LITTLE REDWATER,HIGHLANDS,LITTLE REDWATER_HIGHLANDS
285771,FWC,LITTLE RED WATER,HIGHLANDS,LITTLE RED WATER_HIGHLANDS
285770,LW,LITTLE REDWATER 2,HIGHLANDS,LITTLE REDWATER 2_HIGHLANDS
