effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),2.886827153110325,0.017286283202867275,167.00103308682847,0
fixed,cond,NA,Time,0.006319336858155624,7.995701764510703e-4,7.903417416347739,2.7135896266725007e-15
fixed,cond,NA,Time:HydrPAC,6.921895344996714e-5,5.588717128994531e-5,1.2385481650315762,0.21551287444447748
fixed,cond,NA,Time:FloatPAC,-0.0015677423208949953,3.503852449118583e-4,-4.47433887031793,7.664810091993842e-6
fixed,cond,NA,Time:HydrTrtFreq,7.402521752607568e-5,1.6437721901989516e-05,4.503374492369051,6.688287342148245e-6
fixed,cond,NA,Time:FloatTrtFreq,-6.08195571221966e-5,1.5074103517199778e-5,-4.03470475393781,5.467099806211452e-5
fixed,cond,NA,Time:OtherTrtFreq,1.0055210426000583e-4,2.0686150092740826e-5,4.860841858403199,1.1688760310639376e-6
fixed,cond,NA,Time:HydrTrtArea,8.776032136449595e-5,4.7695663861763437e-5,1.8400062869205909,0.06576731431806333
fixed,cond,NA,Time:FloatTrtArea,-2.2358572052532142e-4,1.698730620974695e-4,-1.3161929134887365,0.1881093016138146
fixed,cond,NA,Time:OtherTrtArea,-2.3900000189513426e-4,2.3766265810675386e-4,-1.005627067369497,0.3145949984196182
ran_pars,cond,AreaOfInterestID,sd__(Intercept),0.3101707737682585,NA,NA,NA
