AreaOfInterestID,longitude,latitude,AreaOfInterest
60,-81.65639,28.76116,"Carlton, Lake"
320,-81.54591,28.93371,"Norris, Lake"
138,-81.73027,28.83665,"Eustis, Lake"
488,-81.73044,28.90874,"Yale, Lake"
15,-81.675696,28.766051,Apopka Beauclair Canal
117,-81.67175,28.7916,"Dora, Lake"
449,-81.6814,28.86665,Trout Lake
167,-81.757691,28.852392,Haines Creek
132,-81.71095,28.95891,Ella Lake
177,-81.7929,28.7844,"Harris, Lake"
70,-81.812970000000007,28.59878,"Cherry, Lake"
185,-81.7789,28.56426,"Hiawatha, Lake"
336,-81.870949,28.766339,Palatlakaha River
53,-81.896081,28.763191,Bugg Springs
104,-81.770797,28.81155,Dead River
297,-81.76208,28.52975,"Minnehaha, Lake"
226,-81.717749,28.822075,"Junietta, Lake"
249,-82.058475,29.576952,Little Orange Lake
468,-82.302508,29.52984,"Wauberg, Lake"
69,-83.415125,30.615751,Cherry Lake
218,-82.08344,29.59099,Johnson Lake
189,-82.06512,29.56489,Holdens Pond
24,-81.32308,28.5718,"Baldwin, Lake"
47,-82.4827,27.428083,Braden River
273,-82.458033,27.527183,Manatee River
435,-82.726402,28.114131,"Tarpon, Lake"
431,-82.29375,30.11815,Swift Creek
363,-82.43739,29.10245,Rainbow River
118,-81.62268,29.00414,"Dorr, Lake"
420,-81.419118,27.322749,Stearns Creek
621,-81.422886,27.40481,Jackson Creek
147,-81.405244,27.33864,"Francis, Lake"
225,-81.38448,27.31465,"June-In-Winter, Lake"
407,-83.720755,30.586297,Snead's Smokehouse
451,-82.28663,28.85489,"Tsala Apopka, Lake"
68,-82.597325,28.720619,Chassahowitzka River
94,-82.67267,28.92069,Crystal River
124,-81.866156,29.258301,"Eaton, Lake"
640,-81.511237,30.225426,Baymeadows FMA
190,-81.944688,28.024202,"Hollingsworth, Lake"
438,-81.8124,28.1448,"Tennessee, Lake"
366,-81.48596,27.74574,"Reedy, Lake"
341,-81.74077,28.06712,"Pansy, Lake"
372,-81.39703,27.9335,"Rosalie, Lake"
376,-81.7079,28.002,"Roy, Lake"
268,-81.7212,27.9961,"Lulu, Lake"
281,-81.721356,28.028984,"Martha, Lake"
380,-81.8845,28.0534,Saddle Creek FMA
13,-81.605863,27.992072,"Annie, Lake"
426,-81.6953,27.9992,"Summit, Lake"
400,-81.7431,28.003,"Shipp, Lake"
