PERIMETER,NAME,COUNTY,OBJECTID,SHAPEAREA,SHAPELEN
2307.460007,Sand Pond,WASHINGTON,90,172722.5645,2307.460042
2281.01602,Wolf Pond,BAY,91,150566.9901,2281.017803
584.7816933,Sand Pond,WASHINGTON,92,14264.77803,584.7816571
1070.4388,Old Brooks Bay,JACKSON,93,46845.2531,1070.437911
858.3240099,Holland Pond,JACKSON,94,28562.79334,858.3242749
743.2530795,Grisset Pond,WASHINGTON,95,33014.26126,743.2537261
162.5760849,Caraway Mill Pond,JACKSON,96,1774.819743,162.5759624
1336.892451,Pilcher Pond,JACKSON,97,40691.80147,1336.893164
814.5300643,Lake Shippey,GULF,98,43395.89499,814.5300854
436.672767,Meredith Pond,JACKSON,99,8028.683219,436.6724007
183.8593393,Lake Coma,GULF,100,1482.871241,183.8589767
1051.956105,Burke Pond,CALHOUN,101,49309.17617,1051.956219
1087.864063,Boggy Pond,JACKSON,102,80478.191,1087.864297
471.2400806,Clair Pond,JACKSON,103,16054.96659,471.2401837
1349.083834,Greenback Lake,LIBERTY,104,15897.49467,1349.083562
554.0511214,Brown Lake,CALHOUN,105,6592.789457,554.0511292
655.4292906,Muscogee Lake,LIBERTY,106,12286.44799,655.4297483
1857.963752,Wolf Pond,JACKSON,107,199780.5085,1857.963119
4151.262193,Elsie Lake,LIBERTY,108,176685.0003,4151.262652
627.1233664,Gin House Lake,CALHOUN,109,7580.390196,627.1235448
3939.523352,Brenson Pond,JACKSON,110,272498.9161,3939.523072
4703.201878,Mill Pond,JACKSON,111,179073.3425,4703.201104
2196.215473,Kemp Pond,JACKSON,112,180683.7618,2196.215914
537.8302373,Pitt Land Slide Pond,GADSDEN,113,9250.40874,537.8304543
855.5887358,McKissack Ponds,FRANKLIN,114,38522.38452,855.5888761
3126.499059,Duck Lake,FRANKLIN,115,179683.5312,3126.499797
740.6690921,Durwood Owens Pond,GADSDEN,116,20491.94499,740.6698216
2916.771087,Lake Yvette,GADSDEN,117,113795.1412,2916.772699
924.7391987,Silver Lake,LEON,118,55976.31987,924.7396942
6030.048266,Lutterloh Pond,LEON,119,164843.1906,6030.047716
2879.545416,Lake Monkey Business,LEON,120,158041.8752,2879.545286
1996.505983,Eagle Lake,LEON,121,85092.08667,1996.504759
1931.232986,Little Roberts Pond,LEON,122,89435.69522,1931.233867
523.0621944,Homer Lake,LEON,123,20001.70287,523.0621677
3065.055189,Huggle Pond,LEON,124,207655.6655,3065.055299
2649.032157,Lake Fontaine,JEFFERSON,125,229779.9323,2649.033166
864.5704646,Parker Pond,JEFFERSON,126,25051.00379,864.5707712
483.2130879,Horse Pond,JEFFERSON,127,11366.97882,483.2130353
1655.131978,Blue Pond,JEFFERSON,128,51551.39544,1655.131916
1593.320655,Burns Prairie,HERNANDO,129,54766.76776,1593.320664
857.6770434,Hog Pond,CITRUS,130,13632.80748,857.6778542
1923.430798,Duck Pond,MARION,131,118486.3162,1923.429864
1557.005689,Wright Pond,MADISON,132,81855.07659,1557.005814
1235.778782,Francis Lake,MADISON,133,97514.54828,1235.778643
2521.37852,Butler Lake,MADISON,134,166983.7406,2521.379126
2545.970994,Mystic Lake,MADISON,135,188867.4381,2545.971245
2432.469755,Williamson Pond,MADISON,136,81611.76062,2432.468837
1780.036011,Peterson Sink Pond,MADISON,137,68725.01269,1780.035488
234.3443252,Davis Pond,MADISON,138,3369.78752,234.3442388
