AreaOfInterest,County,AreaOfInterestID,Longitude,Latitude
Alligator Lake,Pinellas,10,-82.701067,27.979933
Bear Lake,Santa rosa,27,-86.83314,30.86309
Black Lake,Sumter,34,-81.987467,28.905027
Compass Lake,Jackson,79,-85.38442,30.59513
Crescent Lake,Putnam,88,-81.521817,29.50515
Dead Lakes,Gulf,103,-85.19059,30.209
"Dina, Lake",Lake,113,-81.716523,28.949217
Doctors Lake,Clay,116,-81.70756,30.14598
Gap Pond,Washington,151,-85.56523,30.55037
"George, Lake",Volusia,158,-81.60078,29.29174
Gopher Slough,Volusia,163,-81.03522,28.7472
Jackson Lake,Walton,208,-86.32545,30.99324
Kingsley Lake,Clay,231,-81.98774,29.97261
Little Lake George,Putnam,242,-81.68317,29.449
Little Lake Hamilton,Polk,243,-81.63413,28.068112
Little Lake Harris,Lake,244,-81.75806,28.71618
"Manatee, Lake",Manatee,274,-82.30385,27.4773
Middle Lake Hamilton,Polk,293,-81.6487,28.0694
Otter Lake,Wakulla,334,-84.42139,30.02447
Pate Lake,Washington,343,-85.74412,30.69121
Round Lake,Jackson,373,-85.394,30.65256
"Stanley, Lake",Walton,417,-86.1394,30.73938
Taylor Park,Pinellas,437,-82.8043,27.904117
Walsingham Reservoir,Pinellas,462,-82.810283,27.878333
Waters Lake,Gilchrist,466,-82.732783,29.708917
"Wimico, Lake",Gulf,481,-85.14456,29.79717
"Ajay, Lake",Osceola,3,-81.22269,28.33995
Brooklyn Lake,Clay,49,-82.027848,29.801242
"Warner, Lake (L. Lake Kerr)",Marion,463,-81.74278,29.3548
"Beresford, Lake",Volusia,29,-81.346617,28.989717
Tick Island Mud Lake,Volusia,444,-81.44145,29.08885
Dead Lake,Flagler,102,-81.440833,29.41535
Crews Lake,Pasco,89,-82.53025,28.37395
Spring Garden Lake,Volusia,411,-81.374417,29.1185
Little Lake Weir,Marion,247,-81.9766,29.01941
"Willaimee, Lake",Lake,479,-81.768404,28.512132
Boggy Creek,Osceola,42,-81.31094,28.32806
Cedar River,Duval,63,-81.740593,30.281481
Dunns Creek,Putnam,120,-81.555933,29.535217
Econfina Creek,Bay,126,-85.55892,30.33404
Fenholloway River,Taylor,142,-83.77725,29.99567
Holmes Creek,Washington,192,-85.71221,30.62687
Julington Creek,Duval,223,-81.599257,30.131327
Ochlockonee River,Wakulla,325,-84.52993,30.00745
Ortega River,Duval,331,-81.709215,30.238938
Pemberton Creek,Hillsborough,347,-82.2714,28.052833
Perdido River,Escambia,348,-87.42751,30.468406
Pithlachascotte River,Pasco,352,-82.683908,28.23598
Ribault River,Duval,367,-81.689697,30.396124
Shoal River,Okaloosa,401,-86.53929,30.70013
Sopchoppy River,Wakulla,408,-84.50121,30.06286
Steinhatchee River,Taylor,421,-83.38904,29.66986
Waccasassa River,Levy,458,-82.75696,29.219027
Yellow River,Santa rosa,489,-86.948736,30.560411
Alapaha River,Hamilton,5,-83.100046,30.445943
Black Creek,Clay,33,-81.762413,30.080782
Boiling Creek,Santa rosa,43,-86.886316,30.578178
Escambia River,Santa rosa,137,-87.216643,30.563097
Juniper Springs,Marion,228,-81.711935,29.18412
Zipper Creek,Polk,490,-81.3775,27.913333
Wekiva River,Levy,473,-82.756645,29.219429
Silver Glen Springs,Marion,402,-81.635509,29.247875
Mud Lake,Lake,775,-81.37269388,28.98920255
Istokpoga Canal,Highlands,205,-81.224158,27.383339
Tampa Bypass Canal,Hillsborough,434,-82.364686,27.972881
"Tarpon, Lake Outfall Canal",Pinellas,436,-82.709817,28.07865
Bethesda Lake FMA,Duval,30,-81.72471,30.432885
Cowpen Lake,Putnam,85,-82.00705,29.5996
"Ellen, Lake",Wakulla,134,-84.39807,30.11355
"Ellen, Lake",Wakulla,714,-82.49723558,28.0614478
Hanna Park FMA,Duval,175,-81.404865,30.366364
"Hilda, Lake",Calhoun,187,-85.04726,30.44009
"Bonnet, Lake",Polk,44,-81.657736,28.143932
"Bonnet, Lake",Polk,45,-81.976704,28.048103
Lee Adams Pond,Duval,236,-81.86429,30.265368
"McGarity, Lake",Volusia,287,-81.22399393,28.89887257
Sawgrass Lake,Pinellas,388,-82.672967,27.8433
St. Augustine Lake FMA,Duval,413,-81.638329,30.267965
Fisher Lake,Union,145,-82.381131,30.068744
Mangonia,Palm beach,275,-80.075549,26.739852
"Moody, Lake",Polk,872,-82.29644363,28.40632271
"Moody, Lake",Polk,306,-81.529369,27.781367
Oceanway FMA,Duval,323,-81.630748,30.460338
"Patrick (Leonore), Lake",Polk,344,-81.512459,27.796116
Johnson Lake,Clay,218,-82.08344,29.59099
Johnson Lake,Clay,219,-81.943187,29.824355
"Jumper, Lake",Marion,224,-81.85742,29.21728
"Lou, Lake",Marion,258,-81.854988,29.223981
Bivens Arm,Alachua,32,-82.34579957,29.62570542
"Ruby, Lake",Polk,377,-81.66796083,27.9701228
"Streety, Lake",Polk,425,-81.571986,27.680544
Little Lake Jumper,Marion,245,-81.85651,29.21731
Star Lake,Polk,418,-81.716372,27.876381
Blue Spring Lake,Taylor,39,-83.57073,29.839168
Lang Lake FMA,Hamilton,234,-82.887458,30.423701
"Rachel, Lake",Hamilton,362,-83.46141,30.45747
Smith Lake,Washington,406,-85.672378,30.74202
Desoto Lake,Columbia,610,-82.63301047,30.1914113
Cranes Creek,Brevard,86,-80.60236413,28.07694775
Elbow Creek,Brevard,131,-80.628117,28.114846
