AOI,Lake,longitude,latitude,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA
Baldwin,Baldwin,-81.322244488488806,28.572503191287318,"147631","107807541",2013/06/26,"2","00280865",Lake Corrine,0.79256709000,"91.0","03080101010272","390","39009","1000000",0.03146067256,0.00007309380,Baldwin,"0","0",0.000000000000000,0.000000000000000
Bear,Bear,-86.829160811345801,30.863269716444087,"530068","40518825",2015/05/20,"2","00278336",Bear Lake,0.43017362000,"0.0","03140104001053","390","39004","1000000",0.04741331399,0.00004056954,Bear Lake,"27","0",0.000000000000000,0.000000000000000
Beauclair,Beauclair,-81.660485258359316,28.773603765530808,"143330","167177234",2020/05/28,"2","00278356",Lake Beauclair,4.55694657000,"0.0","03080102022877","390","39000","5000000",0.11577893474,0.00042104997,"Beauclair, Lake","28","0",0.000000000000000,0.000000000000000
BigHenderson,Big Henderson,-82.316768476259313,28.840468447912205,"8554","167473948",2009/09/09,"2","00283895",Henderson Lake,1.70900000000,"39.0","03100208023706","390","39009","5000000",0.12553347989,0.00015797112,Henderson,"0","0",0.000000000000000,0.000000000000000
Blanche,Blanche,-81.516223512692306,28.480648036249999,"427494","112028991",2013/07/10,"2","00278976",Lake Blanche,0.51154421000,"29.9","03090101028598","390","39009","1000000",0.02809449192,0.00004713639,Blanche,"0","0",0.000000000000000,0.000000000000000
Butler,Butler,-81.551798800583342,28.487036262554771,"423286","112029141",2013/07/10,"2","00279743",Lake Butler,7.02176927000,"29.9","03090101043552","390","39009","2000000",0.18662777406,0.00064706942,Little Wauseon Bay,"0","0",0.000000000000000,0.000000000000000
Cannon,Cannon,-81.752945150111486,28.038349585492540,"56083","78690623",2012/08/24,"2","00279989",Lake Cannon,1.34420531000,"0.0","03100101004320","390","39004","2000000",0.03974054707,0.00012336006,Cannon,"0","0",0.000000000000000,0.000000000000000
Carlton,Carlton,-81.657577398534272,28.759581539078013,"147781","167177231",2020/05/28,"2","00280047",Lake Carlton,1.53095330000,"0.0","03080102022867","390","39000","2000000",0.04698023085,0.00014143784,Carlton,"0","0",0.000000000000000,0.000000000000000
Cherry,Cherry,-83.415101095191645,30.615304142473867,"549372","133703081",2020/04/24,"2",,,1.94023647000,"0.0","03110203002370","390","39000","2000000",0.04975595467,0.00018252159,Cherry Lake,"69","0",0.000000000000000,0.000000000000000
Clear,Clear,-80.070475535146073,26.711942323505617,,,,,,,,,,,,,,,,,,,
Conway(NorthLobe),Conway (North Lobe),-81.349336152265636,28.472460591849920,"239823","112028653",2009/09/10,"2","00280728",Lake Conway,4.36900000000,"26.2","03090101028282","390","39009","2000000",0.16146054263,0.00040253211,"Conway, Lake","81","0",0.000000000000000,0.000000000000000
Conway(SouthLobe),Conway (South Lobe),-81.347940174863936,28.459062707357695,"239823","112028653",2009/09/10,"2","00280728",Lake Conway,4.36900000000,"26.2","03090101028282","390","39009","2000000",0.16146054263,0.00040253211,"Conway, Lake","81","0",0.000000000000000,0.000000000000000
Crescent,Crescent,-81.502167185418585,29.461134723441408,"89028","125973908",2014/09/19,"2","00281036",Crescent Lake,69.40200451000,"0.5","03080103033128","390","39009","5000000",0.56768108615,0.00645469682,Crescent,"0","0",0.000000000000000,0.000000000000000
Cypress,Cypress,-81.321849462319392,28.077713840022987,"428477","112040787",2013/08/19,"2","00281219",Cypress Lake,12.91782787000,"15.8","03090101033771","390","39009","5000000",0.15353283579,0.00118590702,Cypress,"0","0",0.000000000000000,0.000000000000000
Doctors,Doctors,-81.735767099983434,30.131103320545694,"129621","125973830",2019/07/24,"2","00281632",Doctors Lake,14.02952982000,"0.0","03080103033077","390","39004","5000000",0.27773195624,0.00131339835,Doctors,"0","0",0.000000000000000,0.000000000000000
Dora,Dora,-81.690335738447587,28.790766412615163,"206425","112683506",2020/05/28,"2","00281681",Lake Dora,17.74604697000,"0.0","03080102005051","390","39000","5000000",0.32252392095,0.00163995356,"Dora, Lake","117","0",0.000000000000000,0.000000000000000
Dorr,Dorr,-81.622256563379040,29.001531375838987,"219906","107775203",2013/06/03,"2","00305590",Lake Dorr,6.96883509000,"43.0","03080101011587","390","39009","2000000",0.11826655016,0.00064528782,Dorr,"0","0",0.000000000000000,0.000000000000000
Down,Down,-81.525486516943502,28.504190999531595,"423427",c3aa4be1-a57b-47a6-8389-edde0c50422f,2013/07/10,"2","00281739",Lake Down,3.68000794000,"29.9","03090101043551","390","39009","2000000",0.13046820571,0.00033917144,Little Down,"0","0",0.000000000000000,0.000000000000000
EastToho,East Tohopekaliga,-81.284906100751741,28.295299178703274,"429039","112035523",2013/08/19,"2","02082902",East Lake Tohopekaliga,47.51796254000,"0.0","03090101030159","390","39004","5000000",0.38782287275,0.00437112365,Chisholm Park,"0","0",0.000000000000000,0.000000000000000
Eloise,Eloise,-81.703100587514172,27.983294744628516,"156866","78690665",2012/11/02,"2","00282184",Lake Eloise,4.68009852000,"131.0","03100101004357","390","39009","5000000",0.10493703091,0.00042928653,Eloise,"0","0",0.000000000000000,0.000000000000000
Eustis,Eustis,-81.727377147168625,28.846394950725248,"273757","112683438",2020/05/28,"2","00282276",Lake Eustis,31.45816411000,"0.0","03080102005011","390","39000","5000000",0.27477369855,0.00290865259,Eustis,"0","0",0.000000000000000,0.000000000000000
Eustis2,Eustis,-81.282903783099599,28.294279871763059,"429039","112035523",2013/08/19,"2","02082902",East Lake Tohopekaliga,47.51796254000,"0.0","03090101030159","390","39004","5000000",0.38782287275,0.00437112365,Chisholm Park,"0","0",0.000000000000000,0.000000000000000
Fairview,Fairview,-81.406196748020989,28.592892300245062,"161867","107808999",2009/09/10,"2","00282341",Lake Fairview,1.64100000000,"88.0","03080101010249","390","39009","2000000",0.08011562303,0.00015134729,"Fairview, Lake","140","0",0.000000000000000,0.000000000000000
FloralCity,Floral City,-82.280367593519998,28.768116404735999,"521068","68030237",2013/03/20,"2",,,3.01757233000,"0.0","03100208003959","390","39004","5000000",0.28855629013,0.00027880808,Floral City North,"0","0",0.000000000000000,0.000000000000000
Gator,Gator,-80.173268136190487,26.814072191904760,,,,,,,,,,,,,,,,,,,
George,George,-81.595464835530223,29.285094009799565,"317424","107881197",2015/02/13,"2","00305722",Lake George,175.92218149000,"0.0","03080101028890","390","39004","5000000",0.65598585891,0.01633394855,"George, Lake","158","0",0.000000000000000,0.000000000000000
Grassy,Grassy,-81.778181609034093,27.989898992613636,"14558","78597813",2012/08/24,"2","00283322",Grassy Lake,0.21978495000,"134.0","03100101004381","390","39009","500000",0.02101970341,0.00002016113,Grassy Lake,"628","0",0.000000000000000,0.000000000000000
Griffin,Griffin,-81.847809741484809,28.870929934986748,"27919","167179686",2020/05/28,"2","00305765",Lake Griffin,38.33686867000,"0.0","03080102025009","390","39000","5000000",0.57412400840,0.00354537038,Picciola,"0","0",0.000000000000000,0.000000000000000
Haines,Haines,-81.707286576062486,28.092248577533297,"245822","78686099",2012/08/24,"2","00283592",Lake Haines,2.71809596000,"128.0","03100101004261","390","39009","5000000",0.08661435119,0.00024956644,"Haines, Lake","168","0",0.000000000000000,0.000000000000000
Hamilton,Hamilton,-81.653214541591410,28.051338646582288,"244941","78686183",2014/10/27,"2","00283642",Lake Hamilton,8.66813769000,"120.0","03100101004315","390","39009","5000000",0.16034934554,0.00079558122,Hamilton,"0","0",0.000000000000000,0.000000000000000
Harris,Harris,-81.805877301932981,28.768652387992216,"185995","120024301",2020/05/28,"2","00294031",Lake Harris,74.52675974000,"0.0","03080102029073","390","39000","5000000",0.80536486710,0.00688581464,Little Harris,"0","0",0.000000000000000,0.000000000000000
Hartridge,Hartridge,-81.742337000960276,28.055468178949972,"198013","78690617",2013/02/20,"2","00283788",Lake Hartridge,1.77029234000,"0.0","03100101005119","390","39004","2000000",0.05799120867,0.00016248812,Hartridge,"0","0",0.000000000000000,0.000000000000000
Hatchineha,Hatchineha,-81.404359515133095,28.024276063691644,"245560","112041581",2013/10/19,"2","00294032",Lake Hatchineha,23.76502742000,"15.8","03090101034155","390","39009","5000000",0.38837145992,0.00218069591,Hatchineha,"0","0",0.000000000000000,0.000000000000000
Hollingsworth,Hollingsworth,-81.944950608795182,28.023818732771083,"19470","78643057",2012/08/24,"2","00284163",Lake Hollingsworth,1.43266906000,"132.0","03100101004365","390","39009","2000000",0.04292161019,0.00013146110,Hollingsworth,"0","0",0.000000000000000,0.000000000000000
Howard,Howard,-81.744180501758962,28.023779563744448,"60702","78690629",2012/08/24,"2","00284352",Lake Howard,2.51577798000,"0.0","03100101004338","390","39004","2000000",0.06144729752,0.00023084700,Howard,"0","0",0.000000000000000,0.000000000000000
Hunters,Hunters,-82.620254909325325,28.441747323611970,"507010","58710015",2018/10/05,"2","00284410",Hunters Lake,1.15318347000,"19.0","03100207002435","390","39009","1000000",0.18422753928,0.00010622233,Hunter,"0","0",0.000000000000000,0.000000000000000
Huntley,Huntley,-81.342176601642976,27.287117769168344,"427139","112050445",2014/09/09,"2","00284412",Lake Huntley,2.70342476000,"25.3","03090101038505","390","39009","2000000",0.10063139522,0.00024643463,Huntley,"0","0",0.000000000000000,0.000000000000000
Hurricane,Hurricane,-86.758461215356974,30.940518653206425,"9138","120023966",2015/05/20,"2","00305849",Hurricane Lake,1.31784268000,"0.0","03140104001013","390","39004","2000000",0.13549907950,0.00012438365,Hurricane,"0","0",0.000000000000000,0.000000000000000
Idylwild,Idylwild,-81.756381166826657,28.050487301144567,"332869",{8CA53379-C722-4F82-BBE7-2015FC918800},2013/02/20,"2","00284467",Lake Idylwild,0.37586487000,"0.0","03100101029721","390","39004","1000000",0.02235999799,0.00003449760,Idylwild,"0","0",0.000000000000000,0.000000000000000
Istokpoga,Istokpoga,-81.283405303629181,27.375029393503198,,,,,,,,,,,,,,,,,,,
IstokpogaWestShore,Istokpoga,-81.318195867733507,27.369268021512937,,,,,,,,,,,,,,,,,,,
