CoordSource,AreaOfInterest,AreaOfInterestID,County,GNISID_LW,SA_LW_hec,latitude,longitude,OBJECTID,PermanentID,FDate,Resolution,GNISID,GNISName,Area_SqKm,Elevation,ReachCode,FType,FCode,Visibility,ShapeLength,ShapeArea,JoinNotes,ShapeSource
Lakewatch,8-Ball,0,Lake,NA,NA,28.6007,-81.76496667,114836,{3F8BBAA2-DEF4-4BBD-8005-4958F84C0C13},5/28/20,2,,,0.05331281,0,,466,46600,0,0.026112477,4.92E-06,center lake,NHD
Lakewatch,8-Ball,0,Lake,NA,NA,28.6007,-81.76496667,138065,112617818,5/28/20,2,,,0.03643833,0,3.08E+12,390,39000,250000,0.011351228,3.36E-06,outer boundary,NHD
Lakewatch,Ada,0,Seminole,277672,21,28.76873333,-81.2853,115526,107825923,9/10/09,2,277672,Lake Ada,0.207,42,3.08E+12,390,39009,500000,0.034545117,1.91E-05,,NHD
Lakewatch,Adair,0,Orange,277674,9,28.55976667,-81.39116667,312517,107808763,9/10/09,2,277674,Lake Adair,0.098,77,3.08E+12,390,39009,500000,0.013207266,9.06E-06,,NHD
Lakewatch,Adelaide,0,Highlands,277693,44,27.6403,-81.53176667,425633,112046363,9/9/14,2,277693,Lake Adelaide,0.38904971,30.5,3.09E+12,390,39009,1000000,0.025994711,3.56E-05,,NHD
Lakewatch,Adelaide,0,Seminole,277694,9,28.6666,-81.3655,217391,107719419,9/10/09,2,277694,Lake Adelaide,0.093,56,3.08E+12,390,39009,500000,0.014611827,8.54E-06,,NHD
FWC,"Adelaide, Lake",1,,,,27.64141,-81.53228,425633,112046363,9/9/14,2,277693,Lake Adelaide,0.38904971,30.5,3.09E+12,390,39009,1000000,0.025994711,3.56E-05,,NHD
Lakewatch,Agnes,0,Polk,277698,156,28.1686,-81.82023333,520633,68083775,6/3/13,2,277698,Lake Agnes,1.52519699,132,3.10E+12,390,39009,2000000,0.060897033,0.000140136,,NHD
FWC,"Agnes, Lake",2,,,,28.17591,-81.81951,520633,68083775,6/3/13,2,277698,Lake Agnes,1.52519699,132,3.10E+12,390,39009,2000000,0.060897033,0.000140136,,NHD
FWC,Airport Pulling Road Canal,665,,,,26.202898,-81.768204,,,,,,,,,,,,,,,,NHD
Lakewatch,Ajay,0,Osceola,277708,59.1,28.3402,-81.2229,425864,112032619,7/10/13,2,277708,Ajay Lake,0.51535269,0,3.09E+12,390,39004,5000000,0.06227234,4.74E-05,,NHD
FWC_2,"Ajay, Lake",3,Osceola,,,28.33995,-81.22269,425864,112032619,7/10/13,2,277708,Ajay Lake,0.51535269,0,3.09E+12,390,39004,5000000,0.06227234,4.74E-05,,NHD
Lakewatch,Akron,0,Lake,305198,81,28.9966,-81.52256667,299670,107775257,7/19/11,2,305198,Lake Akron,0.771,43,3.08E+12,390,39009,5000000,0.035877449,7.14E-05,,NHD
FWC,Alafia River,4,,,,27.867147,-82.320475,,,,,,,,,,,,,,,,NHD
FWC_2,Alapaha River,5,Hamilton,,,30.445943,-83.100046,,,,,,,,,,,,,,,"matched to polygon, removed data",NHD
FWC_2,Alapaha River,5,Hamilton,,,30.445943,-83.100046,,,,,,,,,,,,,,,"matched to polygon, removed data",NHD
Lakewatch,Albright,0,Hillsborough,300090,NA,28.0891,-82.47413333,162303,41986517,6/18/19,2,300090,Lake All Bright,0.04872205,0,3.10E+12,390,39004,250000,0.015760807,4.47E-06,,NHD
