OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA,FAOL_GNIS_,FAOL_REACH,FAOL_WBODY,FAOL_WATER,FAOL_COUNT,FAOL_OLD_W,FAOL_ATLAS
425917,112050465,9/9/14,2,286590,Lake McCoy,0.2003665,26.2,3.0901E+12,390,39009,500000,0.015838313,1.82642E-05,McCoy,0,0,0,0,286590,3.0901E+12,1001289,"Mccoy, Lake",Highlands,,FAOL
425954,112047069,9/10/09,2,277883,Lake Angelo,0.226,28,3.0901E+12,390,39009,500000,0.018043736,2.06305E-05,Angelo,0,0,0,0,277883,3.0901E+12,1000041,"Angelo, Lake",Highlands,,FAOL
425974,112050083,11/20/03,2,288729,Persimmon Lake,0.152,20.7,3.0901E+12,390,39009,500000,0.018598821,1.38198E-05,Persimmon,0,0,0,0,288729,3.0901E+12,1001514,Persimmon Lake,Highlands,,FAOL
425995,112027805,9/10/09,2,280358,Lake Cherokee,0.049,21.3,3.0901E+12,390,39009,250000,0.008334338,4.51566E-06,Cherokee,0,0,0,0,280358,3.0901E+12,140137,"Cherokee, Lake",Orange,,ORANGE
426007,112047727,9/10/09,2,281504,Lake Denton,0.269,0,3.0901E+12,390,39004,500000,0.017904252,2.45684E-05,Denton,0,0,0,0,281504,3.0901E+12,1000577,"Denton, Lake",Highlands,,FAOL
426030,112028617,9/10/09,2,286488,Lake Mary,0.194,28.7,3.0901E+12,390,39009,500000,0.016315627,1.78756E-05,Mary Jess,0,0,0,0,286488,3.0901E+12,140324,"Mary, Lake",Orange,,ORANGE
426031,112028341,9/10/09,2,281040,Lake Crescent,0.757,30.8,3.0901E+12,390,39009,1000000,0.043884582,6.97281E-05,Crescent,0,0,0,0,281040,3.0901E+12,140157,"Crescent, Lake",Orange,,ORANGE
426287,112046215,11/20/03,2,292473,Trout Lake,0.569,31.1,3.0901E+12,390,39009,1000000,0.02684639,5.20236E-05,Trout,0,0,0,0,292473,3.0901E+12,161902,Trout Lake,Polk,1902,POLK
426834,112027815,9/10/09,2,281342,Lake Davis,0.072,20.7,3.0901E+12,390,39009,250000,0.010818463,6.65282E-06,Davis,0,0,0,0,281342,3.0901E+12,140161,"Davis, Lake",Orange,,ORANGE
426845,112027773,9/10/09,2,280683,Lake Como,0.009,27.4,3.0901E+12,390,39009,100000,0.003306989,8.1977E-07,Como,0,0,0,0,280683,3.0901E+12,140144,"Como, Lake",Orange,,ORANGE
426856,112027749,11/20/03,2,289836,Rock Lake,0.176,29.3,3.0901E+12,390,39009,500000,0.016491586,1.62296E-05,Rock,0,0,0,0,289836,3.0901E+12,140541,Rock Lake,Orange,,ORANGE
426968,112030747,7/10/13,2,278738,Big Sand Lake,4.13116338,28.7,3.0901E+12,390,39009,2000000,0.175188089,0.000380479,Big Sand,0,0,0,0,278738,3.0901E+12,140008,Big Sand Lake,Orange,,ORANGE
426980,107806951,6/9/10,2,282996,Lake Gear,0.035,106,3.0901E+12,390,39009,250000,0.00753144,3.21746E-06,Gear,0,0,0,0,282996,3.0801E+12,140209,"Gear, Lake",Orange,,ORANGE
426995,112028023,7/10/13,2,,,0.14035115,0,3.0901E+12,436,43600,500000,0.014937228,1.29365E-05,Richmond,0,0,0,0,,3.0901E+12,140395,"Richmond, Lake",Orange,,ORANGE
427022,112042549,11/20/03,2,288527,Parks Lake,0.414,31.1,3.0901E+12,390,39009,1000000,0.033400132,3.7944E-05,Parks,0,0,0,0,288527,3.0901E+12,161003,Parks Lake,Polk,1003,POLK
427025,112035421,11/20/03,2,280767,Coon Lake,0.611,19.2,3.0901E+12,390,39009,5000000,0.030075466,5.6172E-05,Coon,0,0,0,0,280767,3.0901E+12,1000470,Coon Lake,Osceola,,FAOL
427047,112028227,7/10/13,2,292534,Turkey Lake,1.31208108,27.7,3.0901E+12,390,39009,2000000,0.06913062,0.000120927,"Turkey, Lake",658,0,0,0,292534,3.0901E+12,140581,Turkey Lake,Orange,,ORANGE
427062,112027809,9/10/09,2,286193,Lake Lucerne,0.042,25.6,3.0901E+12,390,39009,250000,0.007641737,3.83638E-06,Lucerne West,0,0,0,0,286193,3.0901E+12,140305,"Lucerne, Lake",Orange,,ORANGE
427071,112046653,5/22/16,2,,,0.01079313,0,3.0901E+12,436,43600,100000,0.003588673,9.8683E-07,Eagle Pond,0,0,0,0,,3.0901E+12,1002759,Eagle Pond,Highlands,,FAOL
427072,112043191,10/19/13,2,282050,Lake Easy,1.35971087,34.1,3.0901E+12,390,39009,5000000,0.043673621,0.000124579,Easy,0,0,0,0,282050,3.0901E+12,161306,"Easy, Lake",Polk,1306,POLK
427139,112050445,9/9/14,2,284412,Lake Huntley,2.70342476,25.3,3.0901E+12,390,39009,2000000,0.100631395,0.000246435,Huntley,0,0,0,0,284412,3.0901E+12,1000974,"Huntley, Lake",Highlands,,FAOL
427147,112050475,9/9/14,2,288639,Lake Pearl,0.25969051,26.2,3.0901E+12,390,39009,500000,0.01754279,2.36717E-05,Pearl,0,0,0,0,288639,3.0901E+12,1001508,"Pearl, Lake",Highlands,,FAOL
427157,112030991,4/15/11,2,289103,Pocket Lake,0.517,29.9,3.0901E+12,390,39009,1000000,0.030570919,4.76165E-05,Pocket,0,0,0,0,289103,3.0901E+12,140536,Pocket Lake,Orange,,ORANGE
427175,112048019,5/22/16,2,,,0.04441242,0,3.0901E+12,436,43600,250000,0.017980547,4.05765E-06,Mary Jane,0,0,0,0,,3.0901E+12,1002822,"Mary Jane, Lake",Highlands,,FAOL
427215,112027853,9/10/09,2,285322,Lake Lancaster,0.174,21.3,3.0901E+12,390,39009,500000,0.032653373,1.60624E-05,Lancaster,0,0,0,0,285322,3.0901E+12,140282,"Lancaster, Lake",Orange,,ORANGE
427233,112027763,9/10/09,2,285403,Lake Lawsona,0.033,21.3,3.0901E+12,390,39009,250000,0.007298908,3.03804E-06,Lawsona,0,0,0,0,285403,3.0901E+12,140285,"Lawsona, Lake",Orange,,ORANGE
427246,112030967,11/20/03,2,278135,Barton Lake,1.322,19.8,3.0901E+12,390,39009,2000000,0.050108199,0.000121734,Whippoorwill,0,0,0,0,278135,3.0901E+12,140489,"Whippoorwill, Lake",Orange,,ORANGE
427274,112050757,9/9/14,2,289014,Lake Placid,13.73273063,28,3.0901E+12,390,39009,5000000,0.171185155,0.001251332,"Placid, Lake",353,0,0,0,289014,3.0901E+12,1001540,"Placid, Lake",Highlands,,FAOL
427392,112046617,9/9/14,2,288982,Pioneer Lake,0.31242604,30.8,3.0901E+12,390,39009,500000,0.019913946,2.85645E-05,Pioneer,0,0,0,0,288982,3.0901E+12,1001534,Pioneer Lake,Highlands,,FAOL
427403,112050171,9/10/09,2,282784,Lake Francis,2.207,21.3,3.0901E+12,390,39009,2000000,0.052839714,0.000201239,"Francis, Lake",147,0,0,0,282784,3.0901E+12,1000746,"Francis, Lake",Highlands,,FAOL
427435,112043843,9/10/09,2,287087,Lake Moody,1.655,28.3,3.0901E+12,390,39009,2000000,0.04860455,0.000151568,"Moody, Lake",306,0,0,0,287087,3.0901E+12,161539,"Moody, Lake",Polk,1539,POLK
427463,112027901,9/10/09,2,289250,Lake Porter,0.136,28.3,3.0901E+12,390,39009,500000,0.014968251,1.25291E-05,Porter,0,0,0,0,289250,3.0901E+12,140384,"Porter, Lake",Orange,,ORANGE
427483,112029645,7/10/13,2,292259,Lake Tibet,4.36359805,29.9,3.0901E+12,390,39009,2000000,0.139114829,0.000401983,"Tibet, Lake",443,0,0,0,292259,3.0901E+12,140463,"Tibet, Lake",Orange,,ORANGE
427494,112028991,7/10/13,2,278976,Lake Blanche,0.51154421,29.9,3.0901E+12,390,39009,1000000,0.028094492,4.71364E-05,Blanche,0,0,0,0,278976,3.0901E+12,140101,"Blanche, Lake",Orange,,ORANGE
427568,112043025,11/20/03,2,290145,Saint Anne Lake,0.061,29.3,3.0901E+12,390,39009,250000,0.008736828,5.59707E-06,St. Anne,0,0,0,0,290145,3.0901E+12,161248,St. Anne Lake,Polk,1248,POLK
427837,112042573,11/20/03,2,281218,Cypress Lake,0.296,29.9,3.0901E+12,390,39009,500000,0.023149126,2.71336E-05,Cypress,0,0,0,0,281218,3.0901E+12,161008,Cypress Lake,Polk,1008,POLK
427890,112034465,9/10/09,2,280175,Lake Cecile,0.453,22.9,3.0901E+12,390,39009,1000000,0.02604608,4.1644E-05,Cecile,0,0,0,0,280175,3.0901E+12,1000386,"Cecile, Lake",Osceola,,FAOL
427902,112045629,4/15/11,2,285891,Lake Livingston,4.608,26.5,3.0901E+12,390,39009,2000000,0.090451464,0.000421512,Livingston,0,0,0,0,285891,3.0901E+12,161805,"Livingston, Lake",Polk,1805,POLK
428035,112027947,11/20/03,2,,,0.04,0,3.0901E+12,390,39004,250000,0.03067079,3.72528E-06,Walker,0,0,0,0,,3.0901E+12,140482,"Walker, Lake",Orange,,ORANGE
428066,120024286,5/22/16,2,286420,Lake Marian,18.88145348,18,3.0901E+12,390,39009,5000000,0.276726763,0.001730276,Marian,0,0,0,0,286420,3.0901E+12,1001258,"Marian, Lake",Osceola,,FAOL
428080,112047869,5/22/16,2,279213,Bonnet Lake,1.08592481,27.7,3.0901E+12,390,39009,1000000,0.050886747,9.92137E-05,Bonnet,0,0,0,0,279213,3.0901E+12,1000231,Bonnet Lake,Highlands,,FAOL
428172,120024288,4/24/14,2,295796,Lake Kissimmee,127.0038794,14.9,3.0901E+12,390,39009,5000000,1.179714265,0.011641866,Kissimmee,0,0,0,0,295796,3.0901E+12,160726,"Kissimmee, Lake (Osceola)",Osceola,726,POLK
428276,112027777,7/10/13,2,283438,Lake Greenwood,0.04518254,0,3.0901E+12,390,39004,250000,0.019572356,4.16548E-06,Greenwood,0,0,0,0,283438,3.0901E+12,140229,"Greenwood, Lake",Orange,,ORANGE
428280,112027751,4/15/11,2,292644,Lake Underhill,0.568,29.9,3.0901E+12,390,39009,5000000,0.038422587,5.23445E-05,"Underhill, Lake",453,0,0,0,292644,3.0901E+12,140473,"Underhill, Lake",Orange,,ORANGE
428343,112047265,9/10/09,2,277901,Lake Anoka,0.195,37.8,3.0901E+12,390,39009,500000,0.020479984,1.78151E-05,Anoka,0,0,0,0,277901,3.0901E+12,1000045,"Anoka, Lake",Highlands,,FAOL
428426,112036643,11/20/03,2,279574,Buck Lake,2.025,21,3.0901E+12,390,39009,2000000,0.053022436,0.000186099,Buck,0,0,0,0,279574,3.0901E+12,1000300,Buck Lake,Osceola,,FAOL
428456,112036381,8/19/13,2,285874,Live Oak Lake,1.55287905,19.5,3.0901E+12,390,39009,2000000,0.051316922,0.000142762,Live Oak,0,0,0,0,285874,3.0901E+12,1001170,Live Oak Lake,Osceola,,FAOL
428477,112040787,8/19/13,2,281219,Cypress Lake,12.91782787,15.8,3.0901E+12,390,39009,5000000,0.153532836,0.001185907,Cypress,0,0,0,0,281219,3.0901E+12,160413,Cypress Lake (Osceola),Osceola,413,POLK
428489,112050687,11/20/03,2,,,0.038,0,3.0901E+12,390,39004,250000,0.006761262,3.44385E-06,Little Grassy,0,0,0,0,,3.0901E+12,1002913,Little Grassy Lake,Highlands,,FAOL
428709,112033259,11/20/03,2,284046,Hinden Lake,0.633,18.9,3.0901E+12,390,39009,1000000,0.030601407,5.82391E-05,Hinden,0,0,0,0,284046,3.0901E+12,1000924,Hinden Lake,Osceola,,FAOL
428763,112040099,9/10/09,2,290080,Lake Russell,3.019,16.8,3.0901E+12,390,39009,5000000,0.070554179,0.000277275,"Russell, Lake",633,0,0,0,290080,3.0901E+12,161925,"Russell, Lake",Osceola,,POLK
428842,112049509,9/10/09,2,280330,Lake Charlotte,0.817,27.7,3.0901E+12,390,39009,1000000,0.03412021,7.45536E-05,Charlotte,0,0,0,0,280330,3.0901E+12,1000403,"Charlotte, Lake",Highlands,,FAOL
428866,112050113,11/20/03,2,285770,Little Red Water Lake,0.087,21.3,3.0901E+12,390,39009,500000,0.010639371,7.8974E-06,Little Redwater 2,0,0,0,0,285770,3.0901E+12,1001161,Little Red Water Lake,Highlands,,FAOL
428892,120024277,8/19/13,2,280133,Cat Lake,1.7390695,21,3.0901E+12,390,39009,2000000,0.054673323,0.000159843,Cat,0,0,0,0,280133,3.0901E+12,1000379,Cat Lake,Osceola,,FAOL
428895,112027729,4/28/11,2,281775,Druid Lake,0.076,30.2,3.0901E+12,390,39009,250000,0.009875404,6.97389E-06,Druid,0,0,0,0,281775,3.0901E+12,140175,"Druid, Lake",Orange,,ORANGE
428937,112027953,7/10/13,2,280529,Clear Lake,1.44688591,0,3.0901E+12,390,39004,2000000,0.119090369,0.000133374,Clear,0,0,0,0,280529,3.0901E+12,140020,Clear Lake,Orange,,ORANGE
429039,112035523,8/19/13,2,2082902,East Lake Tohopekaliga,47.51796254,0,3.0901E+12,390,39004,5000000,0.387822873,0.004371124,Chisholm Park,0,0,0,0,,3.0901E+12,1002881,"Tohopekaliga, Lake",Osceola,,FAOL
429118,112046429,9/10/09,2,281269,Lake Damon,1.111,31.1,3.0901E+12,390,39009,1000000,0.037260822,0.000101616,Damon,0,0,0,0,281269,3.0901E+12,1000547,"Damon, Lake",Highlands,,FAOL
429144,112047581,11/20/03,2,285620,Little Bonnet Lake,0.33,0,3.0901E+12,390,39004,1000000,0.022401742,3.01566E-05,Little Bonnet,0,0,0,0,285620,3.0901E+12,1001140,Little Bonnet Lake,Highlands,,FAOL
429184,112050381,1/12/14,2,290120,Saddlebags Lake,0.11122217,0,3.0901E+12,390,39004,500000,0.01474797,1.01393E-05,Saddlebags,0,0,0,0,290120,3.0901E+12,1001655,Saddlebags Lake,Highlands,,FAOL
429294,{7E8F2789-19FF-4B6F-8CBF-1085C13CBE58},7/10/13,2,280334,Lake Chase,0.58374821,29.9,3.0901E+12,390,39009,1000000,0.035492908,5.37867E-05,"Chase, Lake",67,0,0,0,292259,FCP1209500001,140134,"Chase, Lake",Orange,,ORANGE
429337,112048259,9/9/14,2,290807,Lake Sebring,1.87488581,32.6,3.0901E+12,390,39009,2000000,0.050561769,0.000171272,Sebring,0,0,0,0,290807,3.0901E+12,1001729,"Sebring, Lake",Highlands,,FAOL
429388,112027721,9/10/09,2,290923,Lake Shannon,0.046,33.5,3.0901E+12,390,39009,250000,0.007958696,4.27849E-06,Shannon,0,0,0,0,290923,3.0901E+12,140418,"Shannon, Lake",Orange,,ORANGE
429446,112031063,7/10/13,2,286482,Lake Mary Jane,4.5302541,18.3,3.0901E+12,390,39009,5000000,0.137680028,0.000417027,Mary Jane,0,0,0,0,286482,3.0901E+12,140326,"Mary Jane, Lake",Orange,,ORANGE
429500,112043541,9/10/09,2,285465,Lake Leonore,1.592,26.2,3.0901E+12,390,39009,5000000,0.049189331,0.000145825,Patrick,0,0,0,0,285465,3.0901E+12,161509,"Leonore, Lake",Polk,1509,POLK
429678,112045497,4/24/14,2,277931,Lake Arbuckle,15.41298817,16.2,3.0901E+12,390,39009,5000000,0.20105402,0.001410062,Arbuckle,0,0,0,0,277931,3.0901E+12,161738,"Arbuckle, Lake",Polk,1738,POLK
429699,112050547,1/12/14,2,283327,Grassy Lake,2.13677556,27.4,3.0901E+12,390,39009,2000000,0.169088542,0.000194723,Grassy,0,0,0,0,283327,3.0901E+12,1000824,Grassy Lake,Highlands,,FAOL
429707,112028505,7/10/13,2,284776,Lake Jessamine,1.18849486,27.7,3.0901E+12,390,39009,1000000,0.075118748,0.000109516,"Jessamine, Lake",213,0,0,0,284776,3.0901E+12,140269,"Jessamine, Lake",Orange,,ORANGE
429709,104239464,6/9/10,2,281052,Lake Crews,0.239,36.3,3.0901E+12,390,39009,500000,0.016889263,2.17557E-05,Crews,0,0,0,0,281052,3.0901E+12,1000509,"Crews, Lake",Highlands,,FAOL
