OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,THINNERCOD,FAOL_GNIS_,FAOL_REACH,FAOL_WBODY,FAOL_WATER,FAOL_COUNT,FAOL_OLD_W,FAOL_ATLAS,AreaOfInte,AreaOfIn_1,SHAPELEN,SHAPEAREA,FAOL_LAKE,FAOL_shp
"423688","112029539",2013/07/10,"2","00285814",Lake Little Sawyer,0.24550119000,"32","03090101028805","390","39009","500000",0.01998897966,0.00002262024,"0","00285814","03090101028805","140398",Little Lake Sawyer,Orange,,ORANGE,,"0",0.000000000000000,0.000000000000000,"0","0"
"429979","120024234",2013/07/10,"2","00286141",Lake Louise,0.51610035000,"0","03090101028685","390","39004","1000000",0.04298371231,0.00004755493,"0","00286141","03090101028685","140300","Louise, Lake",Orange,,ORANGE,,"0",0.000000000000000,0.000000000000000,"0","0"
"434623",{5CCCF72B-D53B-4F3A-B0E6-ADED0C114BD7},2016/05/04,"2",,,1.93024747000,"0","03090204040932","436","43603","2000000",0.15759489609,0.00017443701,"0",,"03090204028085","1002931",Quarry Lake,Collier,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"443135","138369592",2015/02/05,"2",,,0.44911265000,"0","03090206044680","436","43600","500000",0.09126663309,0.00004068486,"0",,"03090206044680","1002737","Charleston, Lake",Palm Beach,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"469590","41986221",2013/01/03,"2",,,0.10276642000,"0","03100205001376","436","43600","250000",0.01526492643,0.00000943526,"0",,"03100205001376","5372","Forest, Lake (06-35)",Hillsborough,,HILLSBOROUGH,,"0",0.000000000000000,0.000000000000000,"0","0"
"484666","127397552",2004/10/15,"2","00287516",Mystic Lake,0.18900000000,"32","03110103000719","390","39009","500000",0.02449002957,0.00001774341,"0","00287516","03110103000719","1001398",Mystic Lake,Madison,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"499678","68745618",2019/06/18,"2","00285703",Little Halfmoon Lake,0.04762303000,"0","03100206001018","390","39004","250000",0.01835794249,0.00000437299,"0","00285703","03100206001018","5140",Little Halfmoon Lake,Hillsborough,,HILLSBOROUGH,,"0",0.000000000000000,0.000000000000000,"0","0"
"500327","68758116",2019/06/18,"2","00284062",Lake Hobbs,0.28147035000,"64","03100206000886","390","39009","500000",0.02859213685,0.00002585939,"0","00284062","03100206000886","5042",Hobbs Lake,Hillsborough,,HILLSBOROUGH,,"0",0.000000000000000,0.000000000000000,"0","0"
"513376","99336803",2015/09/01,"2","00288620",Peacock Lake,0.54312765000,"0","03110205000681","390","39004","1000000",0.04475166356,0.00005089987,"0","00288620","03110205000681","1001504",Peacock Lake,Suwannee,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"520916","68021503",2013/03/20,"2",,,0.09060571000,"0","03100208002147","390","39004","500000",0.01238406612,0.00000839378,"0",,"03100208002147","1002956","Blue Cove, Lake",Marion,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"524717","122178347",2004/06/28,"2","00279893",Camp Creek Lake,0.12300000000,"0","03140101000910","390","39004","500000",0.01987706584,0.00001149770,"0","00279893","03140101000910","1000349",Camp Creek Lake,Walton,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"527852","35358103",2013/03/19,"2","00281937",Lake Earl,0.04225571000,"0","03140102002370","390","39004","250000",0.01113936114,0.00000396727,"0","00281937","03140102002370","1000656","Earl, Lake",Okaloosa,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"532449","78216207",2014/03/25,"2",,,0.00652336000,"0","03100103009246","436","43600","100000",0.00632528316,0.00000059033,"0",,"03100103009225","320035","Gulf Pines, Lake",Lee,,CHNEP,,"0",0.000000000000000,0.000000000000000,"0","0"
"548332","68792888",2019/04/22,"2",,,0.05220705000,"0","03100206021148","436","43600","250000",0.01771049985,0.00000478151,"0",,"03100206021148","7427","Placido, Lake",Pinellas,,PINELLAS,,"0",0.000000000000000,0.000000000000000,"0","0"
"219880","112680822",2019/10/15,"2","00286430",Mariner Lake,0.33677367000,"0","03080102003758","390","39004","1000000",0.03382695535,0.00003137745,"0","00286430","03080102003758","1001259",Mariner Lake,Putnam,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"222189","107777543",2003/10/16,"2","00279581",Buck Lake,0.64700000000,"27","03080101009839","390","39009","1000000",0.04563867817,0.00005975915,"0","00279581","03080101009839","7520",Buck Lake,Seminole,,SEMINOLE,,"0",0.000000000000000,0.000000000000000,"0","0"
"259660","112624170",2020/05/28,"2","00293526",Lake Woodward,0.28712419000,"0","03080102004992","390","39000","500000",0.02268513528,0.00002654231,"0","00293526","03080102004992","8079","Woodward, Lake",Lake,,LAKE,,"0",0.000000000000000,0.000000000000000,"0","0"
"264266","130052351",2018/10/03,"2","00293394",Lake Wimico,16.42939113000,"0","03130011001272","390","39004","5000000",0.24279639051,0.00153307068,"0","00293394","03130011001272","1002078","Wimico, Lake",Gulf,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"273595","120024324",2009/11/04,"2","00305516",Cowpen Lake,1.49600000000,"0","03080102028902","390","39004","2000000",0.11837090340,0.00013934558,"0","00305516","03080102005998","1002399",Cowpen Lake,Putnam,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"273595","120024324",2009/11/04,"2","00305516",Cowpen Lake,1.49600000000,"0","03080102028902","390","39004","2000000",0.11837090340,0.00013934558,"0","00305516","03080102005998","1002399",Cowpen Lake,Putnam,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"273595","120024324",2009/11/04,"2","00305516",Cowpen Lake,1.49600000000,"0","03080102028902","390","39004","2000000",0.11837090340,0.00013934558,"0","00305516","03080102005998","1002399",Cowpen Lake,Putnam,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"289171","107718907",2009/09/10,"2","00284726",Lake Jane,0.00800000000,"0","03080101030530","390","39004","100000",0.00319292122,0.00000076218,"0","00284726","03080101030530","7586","Jane, Lake",Seminole,,SEMINOLE,,"0",0.000000000000000,0.000000000000000,"0","0"
"291229","129951450",2004/12/07,"2","00291563",Spring Pond,0.01300000000,"28.7","03120003005819","390","39009","100000",0.00421203119,0.00000122352,"0","00291563","03120003005819","260105",Spring Pond,Leon,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"4515","107743043",2011/07/19,"2","00281519",Lake Destiny,0.16800000000,"0","03080101010087","390","39004","2000000",0.03465185572,0.00001546815,"0","00281519",FCP1211700014,"7660",Spring Wood Lake and Waterway,Seminole,,SEMINOLE,,"0",0.000000000000000,0.000000000000000,"0","0"
"4515","107743043",2011/07/19,"2","00281519",Lake Destiny,0.16800000000,"0","03080101010087","390","39004","2000000",0.03465185572,0.00001546815,"0","00281519","03080101010087","7536","Destiny, Lake",Orange,,ORANGE,,"0",0.000000000000000,0.000000000000000,"0","0"
"4515","107743043",2011/07/19,"2","00281519",Lake Destiny,0.16800000000,"0","03080101010087","390","39004","2000000",0.03465185572,0.00001546815,"0","00281519",FCP1211700034,"1048",Destiny Canal,Seminole,,SEMINOLE,,"0",0.000000000000000,0.000000000000000,"0","0"
"25899","125951452",2019/07/24,"2","00301100",South Lake Asbury,0.25545051000,"0","03080103002984","390","39004","500000",0.05868866130,0.00002389406,"0","00307224","03080103002984","1002634","Asbury, Lake",Clay,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"26198","129755076",2004/12/02,"2","00305440",Campground Pond,0.06500000000,"0","03120001000954","390","39004","250000",0.01245250147,0.00000605799,"0","00305440","03120001000954","260017",Campground Pond,Leon,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"42542","78686257",2013/02/20,"2","00298004",Lake Sara,0.15888893000,"121","03100101004299","390","39009","500000",0.01426829899,0.00001458258,"0",,"03100101004299","160547","Sara, Lake",Polk,"547",POLK,,"0",0.000000000000000,0.000000000000000,"0","0"
"83332","41986505",2020/10/19,"2",,,0.08572494000,"0","03100205001359","436","43600","500000",0.01742206724,0.00000787117,"0",,"03100205001359","5366","Sinclair, Lake",Hillsborough,,HILLSBOROUGH,,"0",0.000000000000000,0.000000000000000,"0","0"
"116771","112636370",2020/05/28,"2","00289703",Riley Lake,0.17210405000,"0","03080102004098","390","39000","500000",0.01507866010,0.00001601528,"0","00289703","03080102004098","1001611",Riley Lake,Putnam,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"127738","125957328",2009/09/10,"2","00283018",Lake Geneva,3.13200000000,"0","03080103019259","390","39004","2000000",0.09904656158,0.00029218997,"0","00283018","03080103019259","1000770","Geneva, Lake",Clay,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"137569","166403902",2008/08/07,"2",,,0.01600000000,"0","03100201010981","436","43617","100000",0.00865046911,0.00000149971,"0",,FCP1211500260,"16349","Woodmere, Lake",Sarasota,,SARASOTA,,"0",0.000000000000000,0.000000000000000,"0","0"
"166358","112642236",2010/03/29,"2","00305714",Lake Galilee,0.29500000000,"0","03080102003821","390","39004","500000",0.02751294584,0.00002745515,"0","00305714","03080102003821","1002438","Galilee, Lake",Putnam,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"180864","68792760",2019/04/22,"2","00292049",Lake Tarpon,10.29406153000,"2","03100206001066","390","39009","5000000",0.26725246690,0.00094539280,"0","00292049","03100206001066","7084","Tarpon, Lake",Pinellas,,PINELLAS,,"0",0.000000000000000,0.000000000000000,"0","0"
